mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	b.i{	-1.87947	-2.5		/		b	i		i		i						{	m	1	1	5, 2, 6		5	5	0	3	0.0	0.0	0.75	0.0
1	1	1/2	1/2	3/4	2	1	i6						b	i		i6		i		6					m	1	1	2, 6, 5		5	2	0	2	0.0	0.0	0.5	0.0
2	2	0	0	3/4	2	1	iv						b	i		iv		iv							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	1.0	0.0
2	2	1/2	1/2	3/4	2	1	V7						b	i		V7		V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	i						b	i		i		i							m	1	1	5, 2, 6		5	5	1	3	0.25	0.25	0.625	0.2857142857142857
3	3	1/4	1/4	3/4	2	1	V/III						b	i		V/III		V				III			M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	1.125	0.0
3	3	5/8	5/8	3/4	2	1	V6						b	i		V6		V		6					M	1	1	10, 7, 6		6	10	0	2	0.0	0.0	0.25	0.0
4	4	0	0	3/4	2	1	i						b	i		i		i							m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	2	1	V(9)/v						b	i		V(9)/v		V			9	v			M	1	1	7, 11, 8	2	7	7	1	3	0.25	0.125	0.625	0.16666666666666666
4	4	1/2	1/2	3/4	2	1	V65/v	-0.939737	-4.37947		/		b	i		V65/v		V		65		v			Mm7	1	1	11, 8, 5, 7		7	11	0	5	0.0	0.0	0.75	0.0
5	5	0	0	3/4	2	1	v(v#9)}{						b	i		v(v#9)		v			v#9			}{	m	1	1	6, 3, 7	8	6	6	0	4	0.0	0.0	0.875	0.0
5	5	1/4	1/4	3/4	2	1	v2						b	i		v2		v		2					mm7	1	1	4, 6, 3, 7		6	4	0	2	0.0	0.0	0.75	0.0
5	5	3/8	3/8	3/4	2	1	V2						b	i		V2		V		2					Mm7	1	1	4, 6, 10, 7		6	4	0	1	0.0	0.0	0.125	0.0
5	5	1/2	1/2	3/4	2	1	i6	0	-3.98792		/		b	i		i6		i		6					m	1	1	2, 6, 5		5	2	0	5	0.0	0.0	0.5	0.0
6	6	0	0	3/4	2	1	iv(v9)						b	i		iv(v9)		iv			v9				m	1	1	4, 1, 5	6	4	4	1	4	0.2	0.0	0.875	0.0
