mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	3/32	15/32	2/4	2	1	D.I{					D	I		I	I						{	M	0	0	2, 6, 3		2	2	2	6	0.25	0.0625	0.46875	0.11764705882352941
2	1	1/4	1/4	2/4	2	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2	6	4	6	0.4	0.0625	0.5625	0.1
3	2	1/8	1/8	2/4	2	1	IV					D	I		IV	IV							M	0	0	1, 5, 2		1	1	1	5	0.16666666666666666	0.03125	0.34375	0.08333333333333333
3	2	1/4	1/4	2/4	2	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2	6	3	5	0.375	0.09375	0.40625	0.1875
4	3	0	0	2/4	2	1	ii					D	I		ii	ii							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.125	0.0
4	3	1/8	1/8	2/4	2	1	ii6(9)					D	I		ii6(9)	ii		6	9				m	0	0	1, 5, 4	6	4	1	0	4	0.0	0.0	0.5	0.0
4	3	1/4	1/4	2/4	2	1	V(64)	-0.234934	-11.5058		/	D	I		V(64)	V			64				M	0	0	3, 2, 6		3	3	0	2	0.0	0.0	0.25	0.0
4	3	3/8	3/8	2/4	2	1	#viio/vi	-0.234934	-11.6624		/	D	I		#viio/vi	#vii	o			vi			o	0	0	10, 7, 4		10	10	0	6	0.0	0.0	0.875	0.0
5	4	1/4	1/4	2/4	2	1	vi					D	I		vi	vi							m	0	0	5, 2, 6		5	5	0	4	0.0	0.0	0.375	0.0
5	4	3/8	3/8	2/4	2	1	V2/ii					D	I		V2/ii	V		2		ii			Mm7	0	0	3, 5, 9, 6		5	3	1	3	0.25	0.03125	0.25	0.1111111111111111
6	5	0	0	2/4	2	1	#viio6/ii	-1.09636	-3.51805		/	D	I		#viio6/ii	#vii	o	6		ii			o	0	0	6, 3, 9		9	6	0	4	0.0	0.0	0.4375	0.0
6	5	1/8	1/8	2/4	2	1	#viio65/ii	-1.80116	-11.5841		/	D	I		#viio65/ii	#vii	o	65		ii			o7	0	0	6, 3, 0, 9		9	6	0	3	0.0	0.0	0.3125	0.0
6	5	1/4	1/4	2/4	2	1	ii6	0.156623	-4.06623		/	D	I		ii6	ii		6					m	0	0	1, 5, 4		4	1	2	7	0.2222222222222222	0.0625	0.5	0.1111111111111111
6	5	7/16	7/16	2/4	2	1	V					D	I		V	V							M	0	0	3, 7, 4		3	3	2	3	0.4	0.0625	0.125	0.3333333333333333
7	6	0	0	2/4	2	1	I					D	I		I	I							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.03125	0.34375	0.08333333333333333
7	6	1/8	1/8	2/4	2	1	V65/IV	0.469868	-2.5		/	D	I		V65/IV	V		65		IV			Mm7	0	0	6, 3, 0, 2		2	6	1	5	0.16666666666666666	0.03125	0.34375	0.08333333333333333
7	6	1/4	1/4	2/4	2	1	IV					D	I		IV	IV							M	0	0	1, 5, 2		1	1	1	3	0.25	0.03125	0.46875	0.0625
7	6	3/8	3/8	2/4	2	1	I6					D	I		I6	I		6					M	0	0	6, 3, 2		2	6	3	2	0.6	0.0625	0.1875	0.25
8	7	0	0	2/4	2	1	ii7					D	I		ii7	ii		7					mm7	0	0	4, 1, 5, 2		4	4	1	4	0.2	0.0	1.125	0.0
8	7	1/4	1/4	2/4	2	1	V7(4)					D	I		V7(4)	V		7	4				Mm7	0	0	3, 2, 4, 1		3	3	0	1	0.0	0.0	0.25	0.0
8	7	3/8	3/8	2/4	2	1	V7	1.80116	-12.9937		/	D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	1	0.0	0.0	0.125	0.0
9	8	0	0	2/4	2	1	I[I|IAC}	0.54818	-5.08428		/	D	I	I	I	I					IAC	}	M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.375	0.0
9	8	1/8	1/8	2/4	2	1	IV	-0.391557	-5.16259		/	D	I	I	IV	IV							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.25	0.0
9	8	5/24	5/24	2/4	2	1	V	0.156623	-4.84934		/	D	I	I	V	V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.08333333333333333	0.0
9	8	1/4	1/4	2/4	2	1	I					D	I	I	I	I							M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.0	0.375	0.0
9	8	3/8	3/8	2/4	2	1	IV					D	I	I	IV	IV							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.25	0.0
9	8	11/24	11/24	2/4	2	1	V					D	I	I	V	V							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.08333333333333333	0.0
10	9	0	0	2/4	2	1	I]					D	I	I	I	I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
10	9	1/8	1/8	2/4	2	1	V.ii{					D	V		ii	ii						{	m	0	0	5, 2, 6		5	5	2	3	0.4	0.0	0.375	0.0
11	10	0	0	2/4	2	1	V(42)					D	V		V(42)	V			42				M	0	0	6, 3, 5		4	6	0	3	0.0	0.0	0.375	0.0
11	10	1/4	1/4	2/4	2	1	V2					D	V		V2	V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	3	0.0	0.0	0.3125	0.0
11	10	3/8	3/8	2/4	2	1	V43	-0.626491	-12.9937		/	D	V		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	2	1	0.6666666666666666	0.0625	0.125	0.3333333333333333
12	11	0	0	2/4	2	1	V7(4)					D	V		V7(4)	V		7	4				Mm7	0	0	4, 3, 5, 2		4	4	2	4	0.3333333333333333	0.03125	0.21875	0.125
12	11	1/8	1/8	2/4	2	1	V6					D	V		V6	V		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.03125	0.15625	0.16666666666666666
12	11	7/32	7/32	2/4	2	1	I					D	V		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.0625	0.0
12	11	1/4	1/4	2/4	2	1	V43(4)					D	V		V43(4)	V		43	4				Mm7	0	0	5, 2, 4, 3		4	5	1	4	0.2	0.03125	0.21875	0.125
12	11	3/8	3/8	2/4	2	1	V					D	V		V	V							M	0	0	4, 8, 5		4	4	1	3	0.25	0.03125	0.15625	0.16666666666666666
12	11	15/32	15/32	2/4	2	1	I					D	V		I	I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.0625	0.0
13	12	0	0	2/4	2	1	V65					D	V		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	1	4	0.2	0.03125	0.21875	0.125
13	12	1/8	1/8	2/4	2	1	I	0	-3.04818		/	D	V		I	I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	0.3125	0.0
