mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	2	1	D.V{						D	I		V	V						{	M	0	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.08333333333333333	0.16666666666666666	0.3333333333333333
2	1	0	0	2/2	2	1	I						D	I		I	I							M	0	0	2, 6, 3		2	2	0	10	0.0	0.0	1.0	0.0
2	1	3/4	3/4	2/2	2	1	IM2					iii64	D	I		IM2	I	M	2					MM7	0	0	7, 2, 6, 3		2	7	0	5	0.0	0.0	0.75	0.0
3	2	0	0	2/2	2	1	vi						D	I		vi	vi							m	0	0	5, 2, 6		5	5	2	6	0.25	0.16666666666666666	1.3333333333333333	0.1111111111111111
3	2	1/2	1/2	2/2	2	1	I6						D	I		I6	I		6					M	0	0	6, 3, 2		2	6	3	6	0.3333333333333333	0.25	1.25	0.16666666666666666
4	3	0	0	2/2	2	1	vii%43						D	I		vii%43	vii	%	43					%7	0	0	1, 5, 7, 4		7	1	0	3	0.0	0.0	0.5	0.0
4	3	1/4	1/4	2/2	2	1	I6						D	I		I6	I		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.625	0.0
4	3	1/2	1/2	2/2	2	1	ii						D	I		ii	ii							m	0	0	4, 1, 5		4	4	1	3	0.25	0.0	0.75	0.0
4	3	3/4	3/4	2/2	2	1	V7						D	I		V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
5	4	0	0	2/2	2	1	I(^74)}						D	I		I(^74)	I			^74			}	M	0	0	2, 1, 3	7	2	2	0	3	0.0	0.0	1.0	0.0
