mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	C.I{	0	-0.901846		/			C	I		I		I						{	M	0	0	0, 4, 1		0	0	3	4	0.42857142857142855	0.375	1.125	0.25
2	2	0	0	3/4	2	1	IV							C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	3	2	0.6	0.125	0.875	0.125
2	2	1/2	1/2	3/4	2	1	#viio7/ii	-2.4505	-4.41779		/			C	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7	0	2	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	ii							C	I		ii		ii							m	0	0	2, -1, 3		2	2	2	3	0.4	0.3125	0.6875	0.3125
3	3	1/2	1/2	3/4	2	1	V2							C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	2	0.3333333333333333	0.0	0.5	0.0
4	4	0	0	3/4	2	1	I6(4)}							C	I		I6(4)		I		6	4			}	M	0	0	-1, 1, 0		0	-1	0	2	0.0	0.0	0.625	0.0
4	4	1/4	1/4	3/4	2	1	I6							C	I		I6		I		6					M	0	0	4, 1, 0		0	4	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
4	4	1/2	1/2	3/4	2	1	V6							C	I		V6		V		6					M	0	0	5, 2, 1		1	5	1	1	0.5	0.0	0.25	0.0
5	5	0	0	3/4	2	1	I{							C	I		I		I						{	M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.875	0.125
5	5	1/2	1/2	3/4	2	1	V.IV							C	V		IV		IV							M	0	0	0, 4, 1		0	0	2	3	0.4	0.0	0.5	0.0
6	6	0	0	3/4	2	1	I6							C	V		I6		I		6					M	0	0	5, 2, 1		1	5	4	7	0.36363636363636365	0.25	1.125	0.18181818181818182
7	7	0	0	3/4	2	1	IV							C	V		IV		IV							M	0	0	0, 4, 1		0	0	2	3	0.4	0.0	0.5	0.0
7	7	1/4	1/4	3/4	2	1	V(64)							C	V		V(64)		V			64				M	0	0	2, 1, 5		2	2	1	2	0.3333333333333333	0.5	0.25	0.6666666666666666
7	7	1/2	1/2	3/4	2	1	V							C	V		V		V							M	0	0	2, 6, 3		2	2	0	1	0.0	0.0	0.25	0.0
8	8	0	0	3/4	2	1	I|PAC}					1		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	2	4	0.3333333333333333	0.125	1.125	0.1
8	8	1/2	1/2	3/4	2	1	I.V					1		C	I		V		V							M	0	0	1, 5, 2		1	1	2	2	0.5	0.125	0.125	0.5
9	8	0	0	3/4	2	1	I|PAC}					2		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	3	7	0.3	0.25	1.25	0.16666666666666666
10	9	0	0	3/4	2	1	I.V6{							C	I		V6		V		6				{	M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.625	0.0
10	9	1/4	1/4	3/4	2	1	V							C	I		V		V							M	0	0	1, 5, 2		1	1	2	2	0.5	0.125	0.5	0.2
11	10	0	0	3/4	2	1	V(64)							C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	2	3	0.4	0.0	0.625	0.0
11	10	1/4	1/4	3/4	2	1	V							C	I		V		V							M	0	0	1, 5, 2		1	1	2	2	0.5	0.125	0.5	0.2
12	11	0	0	3/4	2	1	I6							C	I		I6		I		6					M	0	0	4, 1, 0		0	4	1	5	0.16666666666666666	0.0	1.0	0.0
12	11	1/2	1/2	3/4	2	1	ii6						IV	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	2	3	0.4	0.125	0.375	0.25
13	12	0	0	3/4	2	1	V7							C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.75	0.0
13	12	1/4	1/4	3/4	2	1	#viio7/vi	0.106544	-2.5		/			C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8	0	1	0.0	0.0	0.25	0.0
13	12	1/2	1/2	3/4	2	1	vi}							C	I		vi		vi						}	m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
14	13	0	0	3/4	2	1	IV{							C	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1	3	6	0.3333333333333333	0.125	1.375	0.08333333333333333
