mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
15	14	0	0	3/4	2	1	I6							C	I		I6		I		6					M	0	0	4, 1, 0		0	4	4	7	0.36363636363636365	0.25	1.125	0.18181818181818182
16	15	0	0	3/4	2	1	IV							C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	2	3	0.4	0.0	0.5	0.0
16	15	1/4	1/4	3/4	2	1	V(64)							C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1	1	2	0.3333333333333333	0.5	0.25	0.6666666666666666
16	15	1/2	1/2	3/4	2	1	V							C	I		V		V							M	0	0	1, 5, 2		1	1	0	1	0.0	0.0	0.25	0.0
17	16	0	0	3/4	2	1	I|PAC}					1		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	5	6	0.45454545454545453	0.375	1.125	0.25
18	16	0	0	3/4	2	1	I|PAC}	-0.955777	3.7727	-6.19044	/	2		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.5	0.0
19	17	0	0	3/4	2	1	vi.i{	-0.426174	-1.64765		/			C	vi		i		i						{	m	0	1	3, 0, 4		3	3	1	5	0.16666666666666666	0.25	1.5	0.14285714285714285
20	18	1/2	1/2	3/4	2	1	#viio6	-1.27852	-1.11493		/			C	vi		#viio6		#vii	o	6					o	0	1	5, 2, 8		8	5	0	2	0.0	0.0	0.5	0.0
21	19	0	0	3/4	2	1	i6							C	vi		i6		i		6					m	0	1	0, 4, 3		3	0	0	3	0.0	0.0	1.0	0.0
21	19	1/2	1/2	3/4	2	1	ii6						iv	C	vi		ii6		ii		6					m	0	1	2, 6, 5		5	2	1	1	0.5	0.25	0.25	0.5
22	20	0	0	3/4	2	1	V							C	vi		V		V							M	0	1	4, 8, 5		4	4	1	3	0.25	0.0	1.0	0.0
22	20	1/2	1/2	3/4	2	1	VI							C	vi		VI		VI							M	0	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.5	0.0
23	21	0	0	3/4	2	1	V65							C	vi		V65		V		65					Mm7	0	1	8, 5, 2, 4		4	8	1	3	0.25	0.0	1.0	0.0
23	21	1/2	1/2	3/4	2	1	i							C	vi		i		i							m	0	1	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
24	22	0	0	3/4	2	1	#viio6							C	vi		#viio6		#vii	o	6					o	0	1	5, 2, 8		8	5	1	3	0.25	0.0	1.0	0.0
24	22	1/2	1/2	3/4	2	1	i6							C	vi		i6		i		6					m	0	1	0, 4, 3		3	0	0	2	0.0	0.0	0.5	0.0
25	23	0	0	3/4	2	1	#viio7							C	vi		#viio7		#vii	o	7					o7	0	1	8, 5, 2, -1		8	8	1	4	0.2	0.0	1.0	0.0
25	23	1/2	1/2	3/4	2	1	i							C	vi		i		i							m	0	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.125	0.375	0.25
26	24	0	0	3/4	2	1	V|HC}							C	vi		V		V					HC	}	M	0	1	4, 8, 5		4	4	1	3	0.25	0.0	1.25	0.0
27	25	0	0	3/4	2	1	iio/iv{							C	vi		iio/iv		ii	o			iv		{	o	0	1	4, 1, -2		4	4	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
28	26	0	0	3/4	2	1	#viio6/iv							C	vi		#viio6/iv		#vii	o	6		iv			o	0	1	4, 1, 7		7	4	1	2	0.3333333333333333	0.25	0.75	0.25
28	26	1/2	1/2	3/4	2	1	iv/iv	-0.391557	-4.61441		/			C	vi		iv/iv		iv				iv			m	0	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
29	27	0	0	3/4	2	1	V6(b2)/iv							C	vi		V6(b2)/iv		V		6	b2	iv			M	0	1	7, 4, -9		3	7	1	1	0.5	0.25	0.5	0.3333333333333333
29	27	1/4	1/4	3/4	2	1	V6/iv	0.156623	-3.2048		/			C	vi		V6/iv		V		6		iv			M	0	1	7, 4, 3		3	7	0	1	0.0	0.0	0.25	0.0
29	27	1/2	1/2	3/4	2	1	iv6/iv	0	-2.03013		/			C	vi		iv6/iv		iv		6		iv			m	0	1	-2, 2, 1		1	-2	1	4	0.2	0.0	1.0	0.0
30	28	1/4	1/4	3/4	2	1	V(64)/iv	0.156623	-3.83129		/			C	vi		V(64)/iv		V			64	iv			M	0	1	3, 2, -1		3	3	0	2	0.0	0.0	0.5	0.0
30	28	1/2	1/2	3/4	2	1	V2/iv	-0.391557	-1.95182		/			C	vi		V2/iv		V		2		iv			Mm7	0	1	1, 3, 7, 4		3	1	0	1	0.0	0.0	0.25	0.0
31	29	0	0	3/4	2	1	i6(4)/iv							C	vi		i6(4)/iv		i		6	4	iv			m	0	1	1, 3, 2		2	1	0	3	0.0	0.0	0.5	0.0
31	29	1/4	1/4	3/4	2	1	i6/iv							C	vi		i6/iv		i		6		iv			m	0	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.75	0.0
32	30	0	0	3/4	2	1	V2/V							C	vi		V2/V		V		2		V			Mm7	0	1	3, 5, 9, 6		5	3	1	3	0.25	0.0	1.25	0.0
32	30	1/2	1/2	3/4	2	1	It6							C	vi		It6	It	vii	o	6	b3	V			It	0	1	-1, 3, 9		9	-1	0	1	0.0	0.0	0.25	0.0
33	31	0	0	3/4	2	1	viio/V							C	vi		viio/V		vii	o			V			o	0	1	9, 6, 3		9	9	2	5	0.2857142857142857	0.25	1.75	0.125
34	32	1/4	1/4	3/4	2	1	V|HC}							C	vi		V		V					HC	}	M	0	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
35	33	0	0	3/4	2	1	V6(4){							C	vi		V6(4)		V		6	4			{	M	0	1	3, 5, 4		4	3	0	3	0.0	0.0	0.625	0.0
35	33	1/4	1/4	3/4	2	1	V6							C	vi		V6		V		6					M	0	1	8, 5, 4		4	8	2	2	0.5	0.25	0.375	0.4
36	34	0	0	3/4	2	1	V							C	vi		V		V							M	0	1	4, 8, 5		4	4	2	3	0.4	0.125	0.875	0.125
36	34	1/2	1/2	3/4	2	1	i6	1.09636	-2.73493		/			C	vi		i6		i		6					m	0	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
37	35	0	0	3/4	2	1	#viio7							C	vi		#viio7		#vii	o	7					o7	0	1	8, 5, 2, -1		8	8	1	4	0.2	0.0	1.125	0.0
37	35	1/2	1/2	3/4	2	1	i							C	vi		i		i							m	0	1	3, 0, 4		3	3	0	2	0.0	0.0	0.375	0.0
38	36	0	0	3/4	2	1	iio(4)							C	vi		iio(4)		ii	o		4				o	0	1	5, 4, -1		5	5	0	3	0.0	0.0	0.625	0.0
38	36	1/4	1/4	3/4	2	1	iio							C	vi		iio		ii	o						o	0	1	5, 2, -1		5	5	2	3	0.4	0.25	0.625	0.2857142857142857
39	37	0	0	3/4	2	1	iv(2)							C	vi		iv(2)		iv			2				m	0	1	4, -1, 3		2	4	0	2	0.0	0.0	0.625	0.0
39	37	1/4	1/4	3/4	2	1	iv							C	vi		iv		iv							m	0	1	2, -1, 3		2	2	2	3	0.4	0.25	0.625	0.2857142857142857
40	38	0	0	3/4	2	1	#viio2	-0.0783114	-4.37947		/			C	vi		#viio2		#vii	o	2					o7	0	1	-1, 8, 5, 2		8	-1	1	4	0.2	0.125	1.0	0.1111111111111111
40	38	1/2	1/2	3/4	2	1	V2	0.0783114	-12.9154		/			C	vi		V2		V		2					Mm7	0	1	2, 4, 8, 5		4	2	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
41	39	0	0	3/4	2	1	i6							C	vi		i6		i		6					m	0	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
41	39	1/8	1/8	3/4	2	1	iio6	0	-3.2048		/		iv	C	vi		iio6		ii	o	6					o	0	1	2, -1, 5		5	2	0	2	0.0	0.0	0.25	0.0
41	39	1/4	1/4	3/4	2	1	V(64)	0	-3.98792		/			C	vi		V(64)		V			64				M	0	1	4, 3, 0		4	4	1	2	0.3333333333333333	0.5	0.25	0.6666666666666666
41	39	1/2	1/2	3/4	2	1	V							C	vi		V		V							M	0	1	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
42	40	0	0	3/4	2	1	i|PAC}	0.783114	-4.22285		/			C	vi		i		i					PAC	}	m	0	1	3, 0, 4		3	3	0	4	0.0	0.0	1.5	0.0
