mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	C.I{	0	-1.96728	/			C	I		I		I						{	M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
1	1	1/4	1/4	4/4	2	1	viio6						C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2	0	5	0.0	0.0	1.5	0.0
1	1	3/4	3/4	4/4	2	1	I6						C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.75	0.0
2	2	0	0	4/4	2	1	I						C	I		I		I							M	0	0	0, 4, 1		0	0	1	3	0.25	0.0625	0.1875	0.25
2	2	1/4	1/4	4/4	2	1	V65/IV						C	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4	3	2	0.6	0.1875	0.3125	0.375
2	2	1/2	1/2	4/4	2	1	IV						C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.5	0.0
3	3	0	0	4/4	2	1	ii						C	I		ii		ii							m	0	0	2, -1, 3		2	2	1	3	0.25	0.0625	0.1875	0.25
3	3	1/4	1/4	4/4	2	1	IV						C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.75	0.0
3	3	3/4	3/4	4/4	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1	1	2	6	0.25	0.125	0.875	0.125
4	4	1/4	1/4	4/4	2	1	V65						C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	3	2	0.6	0.1875	0.3125	0.375
4	4	1/2	1/2	4/4	2	1	I|IAC}						C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
5	5	0	0	4/4	2	1	I{						C	I		I		I						{	M	0	0	0, 4, 1		0	0	0	16	0.0	0.0	1.0	0.0
6	6	0	0	4/4	2	1	V43						C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	4	0.0	0.0	0.25	0.0
6	6	1/4	1/4	4/4	2	1	V65						C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	12	0.0	0.0	0.75	0.0
7	7	0	0	4/4	2	1	I						C	I		I		I							M	0	0	0, 4, 1		0	0	0	17	0.0	0.0	1.0625	0.0
8	8	0	0	4/4	2	1	V43						C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	4	0.0	0.0	0.25	0.0
8	8	1/4	1/4	4/4	2	1	V65						C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	14	0.0	0.0	0.875	0.0
9	9	0	0	4/4	2	1	viio6/V						C	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3	2	10	0.16666666666666666	0.125	0.625	0.16666666666666666
9	9	3/4	3/4	4/4	2	1	V65/V	0.426174	-4.52433	/			C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	1	4	0.2	0.0625	0.3125	0.16666666666666666
10	10	0	0	4/4	2	1	V7						C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	11	0.15384615384615385	0.125	0.75	0.14285714285714285
10	10	3/4	3/4	4/4	2	1	V65						C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	4	0.2	0.0625	0.3125	0.16666666666666666
11	11	0	0	4/4	2	1	I|IAC}{						C	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0	4	5	0.4444444444444444	0.25	0.375	0.4
11	11	1/2	1/2	4/4	2	1	V.ii6	0	-4.41779	/			C	V		ii6		ii		6					m	0	0	0, 4, 3		3	0	3	7	0.3	0.1875	0.625	0.23076923076923078
12	12	0	0	4/4	2	1	V65/V						C	V		V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3	7	2	16	0.1111111111111111	0.125	1.25	0.09090909090909091
13	13	0	0	4/4	2	1	V						C	V		V		V							M	0	0	2, 6, 3		2	2	6	13	0.3157894736842105	0.375	1.0625	0.2608695652173913
14	14	0	0	4/4	2	1	V7						C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	2	16	0.1111111111111111	0.125	1.25	0.09090909090909091
15	15	0	0	4/4	2	1	I|IAC}{						C	V		I		I					IAC	}{	M	0	0	1, 5, 2		1	1	2	10	0.16666666666666666	0.125	0.625	0.16666666666666666
15	15	3/4	3/4	4/4	2	1	iii64						C	V		iii64		iii		64					m	0	0	6, 5, 2		5	6	0	4	0.0	0.0	0.25	0.0
16	16	0	0	4/4	2	1	vi						C	V		vi		vi							m	0	0	4, 1, 5		4	4	2	10	0.16666666666666666	0.125	0.625	0.16666666666666666
16	16	3/4	3/4	4/4	2	1	iii6						C	V		iii6		iii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	0.25	0.0
17	17	0	0	4/4	2	1	viio/V						C	V		viio/V		vii	o			V			o	0	0	7, 4, 1		7	7	0	4	0.0	0.0	1.0	0.0
17	17	1/2	1/2	4/4	2	1	V65/V						C	V		V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3	7	3	9	0.25	0.125	1.375	0.08333333333333333
18	18	0	0	4/4	2	1	V						C	V		V		V							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
18	18	1/4	1/4	4/4	2	1	V7						C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	3	11	0.21428571428571427	0.125	1.875	0.0625
19	19	0	0	4/4	2	1	I						C	V		I		I							M	0	0	1, 5, 2		1	1	0	7	0.0	0.0	1.0	0.0
19	19	1/4	1/4	4/4	2	1	IV	0	-3.67198	/		ii6	C	V		IV		IV							M	0	0	0, 4, 1		0	0	2	3	0.4	0.0625	0.4375	0.125
19	19	1/2	1/2	4/4	2	1	V(64)						C	V		V(64)		V			64				M	0	0	2, 1, 5		2	2	1	2	0.3333333333333333	0.5	0.25	0.6666666666666666
19	19	3/4	3/4	4/4	2	1	V						C	V		V		V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
20	20	0	0	4/4	2	1	I|PAC}				1		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	4	6	0.4	0.125	2.375	0.05
20	20	1/2	1/2	4/4	2	1	I.V				1		C	I		V		V							M	0	0	1, 5, 2		1	1	2	2	0.5	0.25	0.25	0.5
21	20	0	0	4/4	2	1	I|PAC}				2		C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	8	9	0.47058823529411764	0.625	2.75	0.18518518518518517
22	21	0	0	4/4	2	1	I{	0.178804	6.47208	/			C	V		I		I						{	M	0	0	1, 5, 2		1	1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
22	21	1/4	1/4	4/4	2	1	viio6						C	V		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	5	0.0	0.0	1.5	0.0
22	21	3/4	3/4	4/4	2	1	I6						C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.75	0.0
23	22	0	0	4/4	2	1	I						C	V		I		I							M	0	0	1, 5, 2		1	1	1	3	0.25	0.0625	0.1875	0.25
23	22	1/4	1/4	4/4	2	1	V65/IV						C	V		V65/IV		V		65		IV			Mm7	0	0	5, 2, -1, 1		1	5	3	2	0.6	0.1875	0.3125	0.375
23	22	1/2	1/2	4/4	2	1	IV						C	V		IV		IV							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
24	23	0	0	4/4	2	1	ii						C	V		ii		ii							m	0	0	3, 0, 4		3	3	1	3	0.25	0.0625	0.1875	0.25
24	23	1/4	1/4	4/4	2	1	viio/V						C	V		viio/V		vii	o			V			o	0	0	7, 4, 1		7	7	0	5	0.0	0.0	1.5	0.0
24	23	3/4	3/4	4/4	2	1	V						C	V		V		V							M	0	0	2, 6, 3		2	2	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
25	24	1/4	1/4	4/4	2	1	V65						C	V		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	3	2	0.6	0.1875	0.3125	0.375
25	24	1/2	1/2	4/4	2	1	I|IAC}						C	V		I		I					IAC	}	M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
26	25	0	0	4/4	2	1	V/IV{						C	V		V/IV		V				IV		{	M	0	0	1, 5, 2		1	1	3	9	0.25	0.1875	0.5625	0.25
26	25	3/4	3/4	4/4	2	1	V2/IV	-0.156623	-12.7588	/			C	V		V2/IV		V		2		IV			Mm7	0	0	-1, 1, 5, 2		1	-1	1	3	0.25	0.0625	0.1875	0.25
27	26	0	0	4/4	2	1	I6/IV	0.0783114	-4.37947	/			C	V		I6/IV		I		6		IV			M	0	0	4, 1, 0		0	4	3	13	0.1875	0.1875	0.8125	0.1875
28	27	0	0	4/4	2	1	V/V	0.156623	-3.83129	/			C	V		V/V		V				V			M	0	0	3, 7, 4		3	3	3	9	0.25	0.1875	0.5625	0.25
28	27	3/4	3/4	4/4	2	1	V2/V	0.0783114	-4.30116	/			C	V		V2/V		V		2		V			Mm7	0	0	1, 3, 7, 4		3	1	1	3	0.25	0.0625	0.1875	0.25
29	28	0	0	4/4	2	1	I6/V	0	-4.22285	/			C	V		I6/V		I		6		V			M	0	0	6, 3, 2		2	6	3	13	0.1875	0.1875	0.8125	0.1875
30	29	0	0	4/4	2	1	iii.V	0	-3.36143	/			C	iii		V		V							M	0	1	5, 9, 6		5	5	3	9	0.25	0.1875	0.5625	0.25
30	29	3/4	3/4	4/4	2	1	V2						C	iii		V2		V		2					Mm7	0	1	3, 5, 9, 6		5	3	1	3	0.25	0.0625	0.1875	0.25
31	30	0	0	4/4	2	1	i6	0	-5.55414	/			C	iii		i6		i		6					m	0	1	1, 5, 4		4	1	4	12	0.25	0.25	0.75	0.25
32	31	0	0	4/4	2	1	ii%65	-0.704802	-5.71077	/			C	iii		ii%65		ii	%	65					%7	0	1	3, 0, 4, 6		6	3	4	12	0.25	0.25	0.75	0.25
33	32	0	0	4/4	2	1	viio7/V	-0.704802	-5.47583	/			C	iii		viio7/V		vii	o	7		V			o7	0	1	10, 7, 4, 1		10	10	4	12	0.25	0.25	0.75	0.25
34	33	0	0	4/4	2	1	V(64)	0.313246	-12.8371	/			C	iii		V(64)		V			64				M	0	1	5, 4, 1		5	5	2	6	0.25	0.125	0.375	0.25
34	33	1/4	1/4	4/4	2	1	V						C	iii		V		V							M	0	1	5, 9, 6		5	5	4	4	0.5	0.25	0.25	0.5
34	33	1/2	1/2	4/4	2	1	VI|DC						C	iii		VI		VI					DC		M	0	1	0, 4, 1		0	0	0	4	0.0	0.0	0.75	0.0
34	33	15/16	15/16	4/4	2	1	It6						C	iii		It6	It	vii	o	6	b3	V			It	0	1	0, 4, 10		10	0	0	3	0.0	0.0	0.1875	0.0
35	34	0	0	4/4	2	1	V						C	iii		V		V							M	0	1	5, 9, 6		5	5	3	7	0.3	0.1875	0.5625	0.25
35	34	1/2	1/2	4/4	2	1	V7						C	iii		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	1	8	0.1111111111111111	0.0625	0.5	0.1111111111111111
36	35	0	0	4/4	2	1	i|PAC}{						C	iii		i		i					PAC	}{	m	0	1	4, 1, 5		4	4	0	8	0.0	0.0	0.5	0.0
36	35	1/2	1/2	4/4	2	1	VI6						C	iii		VI6		VI		6					M	0	1	4, 1, 0		0	4	1	7	0.125	0.0625	0.4375	0.125
37	36	0	0	4/4	2	1	V2/v						C	iii		V2/v		V		2		v			Mm7	0	1	4, 6, 10, 7		6	4	0	16	0.0	0.0	1.0	0.0
38	37	0	0	4/4	2	1	i6/v						C	iii		i6/v		i		6		v			m	0	1	2, 6, 5		5	2	0	8	0.0	0.0	0.5	0.0
38	37	1/2	1/2	4/4	2	1	iio6/iv						C	iii		iio6/iv		ii	o	6		iv			o	0	1	2, -1, 5		5	2	1	7	0.125	0.0625	0.4375	0.125
39	38	0	0	4/4	2	1	V2/iv						C	iii		V2/iv		V		2		iv			Mm7	0	1	2, 4, 8, 5		4	2	0	16	0.0	0.0	1.0	0.0
