mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	C.I{					C	I		I	I						{	M	0	0	0, 4, 1		0	0	2	5	0.2857142857142857	0.0625	0.4375	0.125
1	1	1/4	1/4	3/8	2	1	I2					C	I		I2	I		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	1	0.5	0.125	0.125	0.5
2	2	0	0	3/8	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	2	5	0.2857142857142857	0.0625	0.4375	0.125
2	2	1/4	1/4	3/8	2	1	vi2					C	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/8	2	1	ii65					C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	6	0.0	0.0	0.8125	0.0
3	3	1/4	1/4	3/8	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.03125	0.25	0.1111111111111111
3	3	11/32	11/32	3/8	2	1	V7					C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	1	0.0	0.0	0.03125	0.0
4	4	0	0	3/8	2	1	I|IAC}{					C	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.041666666666666664	0.3333333333333333	0.1111111111111111
4	4	1/8	1/8	3/8	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	6	0.0	0.0	0.6875	0.0
5	5	0	0	3/8	2	1	ii65					C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	6	0.0	0.0	0.8125	0.0
5	5	1/4	1/4	3/8	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	1	2	0.3333333333333333	0.03125	0.25	0.1111111111111111
5	5	11/32	11/32	3/8	2	1	V7					C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	1	0.0	0.0	0.03125	0.0
6	6	0	0	3/8	2	1	I|IAC}					C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.041666666666666664	0.3333333333333333	0.1111111111111111
6	6	1/8	1/8	3/8	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
6	6	1/4	1/4	3/8	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.3125	0.0
7	7	0	0	3/8	2	1	IV64(b4){					C	I		IV64(b4)	IV		64	b4			{	M	0	0	0, -1, -2		-1	0	0	1	0.0	0.0	0.125	0.0
7	7	1/8	1/8	3/8	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	2	8	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
8	8	0	0	3/8	2	1	I(6)					C	I		I(6)	I			6				M	0	0	0, 4, 3		0	0	0	1	0.0	0.0	0.125	0.0
8	8	1/8	1/8	3/8	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	2	8	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
9	9	0	0	3/8	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	1	0.0	0.0	0.125	0.0
9	9	1/8	1/8	3/8	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1	5	2	3	0.4	0.08333333333333333	0.2916666666666667	0.2222222222222222
9	9	1/4	1/4	3/8	2	1	V65					C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	5	0.0	0.0	0.375	0.0
10	10	0	0	3/8	2	1	I|IAC}{	-0.42575	6.30695	0.216059	/	C	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
10	10	1/8	1/8	3/8	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.4375	0.0
