mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	C.I{	0.0783114	-5.08428		/	C	I		I		I						{	M	0	0	0, 4, 1		0	0	0	19	0.0	0.0	1.9375	0.0
2	2	0	0	4/4	2	1	IV64	-0.0783114	-5.71077		/	C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0	0	9	0.0	0.0	1.375	0.0
2	2	1/2	1/2	4/4	2	1	I(64)					C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0	1	2	0.3333333333333333	0.0	0.25	0.0
2	2	5/8	5/8	4/4	2	1	I	0.347863	-5.66068		/	C	I		I		I							M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	0.625	0.0
3	3	0	0	4/4	2	1	V7	0	-5.71077		/	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	8	0.1111111111111111	0.125	1.25	0.09090909090909091
3	3	1/2	1/2	4/4	2	1	I(94)}	0.783114	-5.63246		/	C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	0	3	0.0	0.0	0.25	0.0
3	3	5/8	5/8	4/4	2	1	I|IAC	1.25298	-5.78908		/	C	I		I		I					IAC		M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
3	3	7/8	7/8	4/4	2	1	V7	-0.0783114	-5.86739		/	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
4	4	0	0	4/4	2	1	I(94){					C	I		I(94)		I			94			{	M	0	0	0, -1, 1	2	0	0	0	4	0.0	0.0	0.3125	0.0
4	4	1/8	1/8	4/4	2	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	0	16	0.0	0.0	1.125	0.0
5	5	0	0	4/4	2	1	IV64					C	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0	0	10	0.0	0.0	1.5	0.0
5	5	1/2	1/2	4/4	2	1	I(64)					C	I		I(64)		I			64				M	0	0	0, -1, 3		0	0	1	2	0.3333333333333333	0.0	0.25	0.0
5	5	5/8	5/8	4/4	2	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	0	5	0.0	0.0	0.625	0.0
6	6	0	0	4/4	2	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	8	0.1111111111111111	0.125	1.25	0.09090909090909091
6	6	1/2	1/2	4/4	2	1	I(94)}					C	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0	0	3	0.0	0.0	0.25	0.0
6	6	5/8	5/8	4/4	2	1	I|IAC					C	I		I		I					IAC		M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
6	6	7/8	7/8	4/4	2	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
7	7	0	0	4/4	2	1	I|IAC{					C	I		I		I					IAC	{	M	0	0	0, 4, 1		0	0	0	10	0.0	0.0	1.25	0.0
7	7	1/2	1/2	4/4	2	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	10	0.16666666666666666	0.125	0.875	0.125
8	8	0	0	4/4	2	1	I					C	I		I		I							M	0	0	0, 4, 1		0	0	3	5	0.375	0.3125	0.5	0.38461538461538464
8	8	3/8	3/8	4/4	2	1	vi6					C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.375	0.0
8	8	1/2	1/2	4/4	2	1	vi					C	I		vi		vi							m	0	0	3, 0, 4		3	3	2	8	0.2	0.125	0.75	0.14285714285714285
8	8	7/8	7/8	4/4	2	1	vi6					C	I		vi6		vi		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	0.375	0.0
9	9	0	0	4/4	2	1	V.V65/V					C	V		V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3	7	0	3	0.0	0.0	0.5	0.0
9	9	1/4	1/4	4/4	2	1	V					C	V		V		V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
9	9	3/8	3/8	4/4	2	1	#viio43/iii					C	V		#viio43/iii		#vii	o	43		iii			o7	0	0	4, 1, 10, 7		10	4	0	3	0.0	0.0	0.375	0.0
9	9	1/2	1/2	4/4	2	1	iii6					C	V		iii6		iii		6					m	0	0	2, 6, 5		5	2	2	9	0.18181818181818182	0.25	1.0	0.2
10	10	0	0	4/4	2	1	vi					C	V		vi		vi							m	0	0	4, 1, 5		4	4	3	5	0.375	0.375	0.4375	0.46153846153846156
10	10	3/8	3/8	4/4	2	1	IV6					C	V		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
10	10	1/2	1/2	4/4	2	1	IV					C	V		IV		IV							M	0	0	0, 4, 1		0	0	2	8	0.2	0.125	0.75	0.14285714285714285
10	10	7/8	7/8	4/4	2	1	IV6					C	V		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
11	11	0	0	4/4	2	1	ii%65/iii					C	V		ii%65/iii		ii	%	65		iii			%7	0	0	4, 1, 5, 7		7	4	0	3	0.0	0.0	0.5	0.0
11	11	1/4	1/4	4/4	2	1	V(6)/iii					C	V		V(6)/iii		V			6	iii			M	0	0	6, 10, 2		6	6	0	3	0.0	0.0	0.375	0.0
11	11	3/8	3/8	4/4	2	1	viio64/V					C	V		viio64/V		vii	o	64		V			o	0	0	1, 7, 4		7	1	0	3	0.0	0.0	0.375	0.0
