mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	StaffText	3/4	1	1	0							Minuetto I.						
1	1	0	0	0.0		0	0	Dynamic	3/4	1	1	0					f								
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0								𝅘𝅥=112	112.0	𝅘𝅥	112.0	0.0	
1	1	0	0	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	0									0
1	1	3/2	3/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	1									
1	1	7/4	7/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	2									
1	1	2	2	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3									
1	1	0	0	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	4									
1	1	1	1	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5									
1	1	2	2	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6									
2	2	3	3	0.0		0	0	Chord	3/4	1	1	0	grace4	1/4	1	7									
2	2	3	3	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	8									
2	2	5	5	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9									
2	2	3	3	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	10									1
2	2	9/2	9/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	11									1
2	2	19/4	19/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	12									1
2	2	5	5	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	13									
3	3	6	6	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	14									2
3	3	15/2	15/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	15									2
3	3	31/4	31/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	16									
3	3	8	8	0.0		1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	17									
3	3	8	8	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	18									
3	3	6	6	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	19									
3	3	7	7	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	20									
3	3	8	8	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21									
4	4	9	9	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	22									
4	4	10	10	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23									
4	4	9	9	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	24									3
4	4	21/2	21/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	25									3
4	4	43/4	43/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	26									3
4	4	11	11	0.0		1/2	1/2	Chord	3/4	2	1	0	appoggiatura	1/8	1	27									
4	4	11	11	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28									
5	5	12	12	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	29									
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30									
5	5	14	14	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	31									
5	5	14	14	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	32									
5	5	29/2	29/2	0.0		5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	33									
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	34									
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	35									
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36									
5	5	14	14	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37									
6	6	15	15	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	38									
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	39									
6	6	17	17	0.0		1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	40									
6	6	17	17	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	41									
6	6	35/2	35/2	0.0		5/8	5/8	Chord	3/4	1	1	0	grace16	1/16	1	42									
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	43									
6	6	15	15	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	44									
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	45									
6	6	16	16	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	46									
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	47									
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	48									
7	7	18	18	0.0		0	0	Chord	3/4	1	1	0	grace16	1/16	1	49									
7	7	18	18	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	50									
7	7	37/2	37/2	0.0		1/8	1/8	Chord	3/4	1	1	0	grace16	1/16	1	51									
7	7	37/2	37/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	52									
7	7	19	19	0.0		1/4	1/4	Chord	3/4	1	1	0	grace4	1/4	1	53									
7	7	19	19	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	54		ornamentShortTrill							
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55									
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56									
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57									
8	8		21	3.0	1	0	0	Chord	3/4	1	1	3/4		1/2	3/2	58									
8	8		21	0.5	1	0	0	Chord	3/4	2	1	1/8		1/8	1	59									
8	8		43/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	60									
8	8		22	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	61									
8	8		45/2	0.0	1	3/8	3/8	Chord	3/4	2	1	0	grace16	1/16	1	62									
8	8		45/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	63									
8	8		23	0.0	1	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	64									
8	8		23	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	65									
8	8		47/2	0.0	1	5/8	5/8	Chord	3/4	2	1	0	grace16	1/16	1	66									
8	8		47/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	67									
9	8	21	24	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	68									
9	8	21	24	0.5	2	0	0	Chord	3/4	2	1	1/8		1/8	1	69									
9	8	43/2	49/2	0.5	2	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	70									
9	8	22	25	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	71									
9	8	45/2	51/2	0.0	2	3/8	3/8	Chord	3/4	2	1	0	grace16	1/16	1	72									
9	8	45/2	51/2	0.5	2	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	73									
9	8	23	26	0.0	2	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	74									
9	8	23	26	0.5	2	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	75									
9	8	47/2	53/2	0.0	2	5/8	5/8	Chord	3/4	2	1	0	grace16	1/16	1	76									
