mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/8	StaffText	2/4	1	1	0							Un poco Allegro.						
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0								𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
1	0	3/8	3/8	0.0	3/32	15/32	Dynamic	2/4	1	1	0					f								
1	0	3/8	3/8	0.125	3/32	15/32	Chord	2/4	1	1	1/32		1/32	1	0		articStaccatoBelow							
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1									
2	1	1	1	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	2									
2	1	11/8	11/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	3									
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4									
2	1	2	2	0.0	3/8	3/8	StaffText	2/4	1	1	0							Sonate in D-Dur.						
2	1	2	2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	5									
2	1	17/8	17/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	6									
2	1	9/4	9/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	7									
2	1	19/8	19/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	8									
2	1	1	1	0.375	1/8	1/8	Chord	2/4	2	1	3/32		1/16	3/2	9									
2	1	11/8	11/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	10									
2	1	3/2	3/2	0.0	1/4	1/4	Chord	2/4	2	1	0	appoggiatura	1/8	1	11									
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	12									
2	1	1	1	0.375	1/8	1/8	Chord	2/4	2	2	3/32		1/16	3/2	13									
2	1	11/8	11/8	0.125	7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	14									
2	1	3/2	3/2	0.0	1/4	1/4	Chord	2/4	2	2	0	appoggiatura	1/8	1	15									
