mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	StaffText	2/2	1	1	0							Vivace						
1	0	0	0	0.0	0	3/4	Tempo	2/2	1	1	0								𝅗𝅥=76	152.0	𝅗𝅥	76.0	0.0	
1	0	0	0	0.3333333333333333	0	3/4	Chord	2/2	1	1	1/12		1/8	2/3	0									
1	0	1/3	1/3	0.3333333333333333	1/12	5/6	Chord	2/2	1	1	1/12		1/8	2/3	1									
1	0	2/3	2/3	0.3333333333333333	1/6	11/12	Chord	2/2	1	1	1/12		1/8	2/3	2									
1	0	0	0	0.0	0	3/4	Dynamic	2/2	1	2	0					f								
2	1	1	1	0.3333333333333333	0	0	Chord	2/2	1	1	1/12		1/8	2/3	3									
2	1	4/3	4/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	4									
2	1	5/3	5/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	5									
2	1	2	2	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	6		articStaccatoAbove							
2	1	3	3	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	7									
2	1	10/3	10/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	8									
2	1	11/3	11/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	9									
2	1	4	4	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	10									
2	1	13/3	13/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	11									
2	1	14/3	14/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	12									
2	1	2	2	0.3333333333333333	1/4	1/4	Chord	2/2	1	2	1/12		1/8	2/3	13									
2	1	7/3	7/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	2	1/12		1/8	2/3	14									
2	1	8/3	8/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	2	1/12		1/8	2/3	15									
2	1	4	4	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	16									
2	1	4	4	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	17									
3	2	5	5	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	18		ornamentShortTrill							
3	2	7	7	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	19									
3	2	22/3	22/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	20									
3	2	23/3	23/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	21									
3	2	8	8	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	22									
3	2	25/3	25/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	23									
3	2	26/3	26/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	24									
3	2	5	5	2.0	0	0	Chord	2/2	1	2	1/2		1/2	1	25									
3	2	7	7	1.0	1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	26									
3	2	8	8	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	27									
3	2	5	5	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	28									
3	2	16/3	16/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	29									
3	2	17/3	17/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	30									
3	2	6	6	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	31									
3	2	19/3	19/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	32									
3	2	20/3	20/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	33									
3	2	7	7	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	34									
4	3	9	9	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	35									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	36									
4	3	21/2	21/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	37									
4	3	11	11	0.0	1/2	1/2	Chord	2/2	1	1	0	appoggiatura	1/8	1	38									
4	3	11	11	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	39									
4	3	12	12	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	40									
4	3	9	9	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	41									
4	3	10	10	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	42									
4	3	11	11	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	43									
4	3	12	12	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	44									
4	3	10	10	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	45									
4	3	11	11	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	46									
4	3	12	12	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	47									
5	4	13	13	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	48									0
5	4	14	14	0.75	1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	49									
5	4	59/4	59/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	50									
5	4	15	15	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	51									
5	4	46/3	46/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	52									
5	4	47/3	47/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	53									
5	4	16	16	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	54									
5	4	49/3	49/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	55									
