mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	0	3/4	2/2	2	1	I.V		I		V	V								M	1, 5, 2		1	1
2	2	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
2	2	3/4	3/4	2/2	2	1	I2				I2	I		2						Mm7	-2, 0, 4, 1		0	-2
3	3	0	0	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
3	3	1/2	1/2	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
4	4	0	0	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
4	4	1/8	1/8	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
4	4	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
4	4	1/2	1/2	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
4	4	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
5	5	0	0	2/2	2	1	I(74)				I(74)	I			74					M	0, -1, 1	-2	0	0
5	5	1/4	1/4	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
6	6	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
6	6	1/2	1/2	2/2	2	1	ii				ii	ii								m	2, -1, 3		2	2
6	6	3/4	3/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
7	7	0	0	2/2	2	1	I(74)				I(74)	I			74					M	0, -1, 1	-2	0	0
7	7	1/3	1/3	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
7	7	3/4	3/4	2/2	2	1	VI.vi65		VI		vi65	vi		65						mm7	0, 4, 1, 3		3	0
8	8	0	0	2/2	2	1	ii(4)				ii(4)	ii			4					m	2, 1, 3		2	2
8	8	1/4	1/4	2/2	2	1	iio				iio	ii	o							o	2, -1, -4		2	2
8	8	3/4	3/4	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
9	9	0	0	2/2	2	1	i\\				i	i							\\	m	0, -3, 1		0	0
9	9	5/12	5/12	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
9	9	1/2	1/2	2/2	2	1	VI				VI	VI								M	-4, 0, -3		-4	-4
9	9	2/3	2/3	2/2	2	1	#viio2				#viio2	#vii	o	2						o7	-4, 5, 2, -1		5	-4
9	9	3/4	3/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
10	10	0	0	2/2	2	1	i				i	i								m	0, -3, 1		0	0
10	10	5/12	5/12	2/2	2	1	i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
10	10	1/2	1/2	2/2	2	1	vio				vio	vi	o							o	-4, -7, -10		-4	-4
10	10	2/3	2/3	2/2	2	1	#vii%2				#vii%2	#vii	%	2						%7	3, 5, 2, -1		5	3
10	10	3/4	3/4	2/2	2	1	i				i	i								m	0, -3, 1		0	0
11	11	0	0	2/2	2	1	V.ii		V		ii	ii								m	2, -1, 3		2	2
11	11	1/4	1/4	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
11	11	3/4	3/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
11	11	11/12	11/12	2/2	2	1	V6				V6	V		6						M	5, 2, 1		1	5
12	12	0	0	2/2	2	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
12	12	1/4	1/4	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
12	12	1/2	1/2	2/2	2	1	I				I	I								M	0, 4, 1		0	0
12	12	3/4	3/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
13	13	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
13	13	1/2	1/2	2/2	2	1	ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
13	13	3/4	3/4	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
14	14	0	0	2/2	2	1	#vii%7				#vii%7	#vii	%	7						%7	5, 2, -1, 3		5	5
14	14	1/4	1/4	2/2	2	1	I				I	I								M	0, 4, 1		0	0
14	14	1/2	1/2	2/2	2	1	IV(7)				IV(7)	IV			7					M	-1, 3, 0	-3	-1	-1
14	14	3/4	3/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
15	15	0	0	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
15	15	1/4	1/4	2/2	2	1	I6\\				I6	I		6					\\	M	4, 1, 0		0	4
15	15	1/2	1/2	2/2	2	1	I				I	I								M	0, 4, 1		0	0
16	16	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
16	16	1/4	1/4	2/2	2	1	I				I	I								M	0, 4, 1		0	0
16	16	1/2	1/2	2/2	2	1	IV				IV	IV								M	-1, 3, 0		-1	-1
16	16	3/4	3/4	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
17	17	0	0	2/2	2	1	V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
17	17	1/4	1/4	2/2	2	1	I6\\				I6	I		6					\\	M	4, 1, 0		0	4
17	17	1/2	1/2	2/2	2	1	I				I	I								M	0, 4, 1		0	0
18	18	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
18	18	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
18	18	1/2	1/2	2/2	2	1	V7(4)				V7(4)	V		7	4					Mm7	1, 0, 2, -1		1	1
18	18	7/12	7/12	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
19	19	0	0	2/2	2	1	#viio7/vi				#viio7/vi	#vii	o	7		vi				o7	1, -2, -5, -8		1	1
19	19	1/2	1/2	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
19	19	3/4	3/4	2/2	2	1	V(#74)				V(#74)	V			#74					M	1, 0, 2	6	1	1
19	19	15/16	15/16	2/2	2	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
20	20	0	0	2/2	2	1	I				I	I								M	0, 4, 1		0	0
20	20	1/2	1/2	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
21	21	0	0	2/2	2	1	V7/V				V7/V	V		7		V				Mm7	2, 6, 3, 0		2	2
21	21	1/4	1/4	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
21	21	3/4	3/4	2/2	2	1	#viio/V				#viio/V	#vii	o			V				o	6, 3, 0		6	6
22	22	0	0	2/2	2	1	#viio/V				#viio/V	#vii	o			V				o	6, 3, 0		6	6
22	22	1/2	1/2	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
23	23	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
23	23	1/4	1/4	2/2	2	1	V				V	V								M	1, 5, 2		1	1
23	23	3/4	3/4	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
24	24	0	0	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
24	24	1/4	1/4	2/2	2	1	V65/IV				V65/IV	V		65		IV				Mm7	4, 1, -2, 0		0	4
24	24	1/2	1/2	2/2	2	1	IV(#9)				IV(#9)	IV			#9					M	-1, 3, 0	8	-1	-1
24	24	3/4	3/4	2/2	2	1	ii6(#4)				ii6(#4)	ii		6	#4					m	-1, 8, 2		2	-1
24	24	11/12	11/12	2/2	2	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
25	25	0	0	2/2	2	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
25	25	1/4	1/4	2/2	2	1	V65/vi				V65/vi	V		65		vi				Mm7	1, -2, -5, -3		-3	1
25	25	5/12	5/12	2/2	2	1	V6/vi				V6/vi	V		6		vi				M	1, -2, -3		-3	1
25	25	1/2	1/2	2/2	2	1	vi(9)				vi(9)	vi			9					m	-4, -7, -3	-2	-4	-4
25	25	3/4	3/4	2/2	2	1	IV6(4)				IV6(4)	IV		6	4					M	-2, 0, -1		-1	-2
25	25	11/12	11/12	2/2	2	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
26	26	0	0	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
26	26	1/2	1/2	2/2	2	1	V				V	V								M	1, 5, 2		1	1
26	26	3/4	3/4	2/2	2	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
27	27	0	0	2/2	2	1	I\\				I	I							\\	M	0, 4, 1		0	0
27	27	1/4	1/4	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
27	27	1/2	1/2	2/2	2	1	I6				I6	I		6						M	4, 1, 0		0	4
27	27	3/4	3/4	2/2	2	1	I2				I2	I		2						Mm7	-2, 0, 4, 1		0	-2
27	27	5/6	5/6	2/2	2	1	vi				vi	vi								m	-4, -7, -3		-4	-4
27	27	11/12	11/12	2/2	2	1	vi2				vi2	vi		2						mm7	-6, -4, -7, -3		-4	-6
28	28	0	0	2/2	2	1	#vii%7/V				#vii%7/V	#vii	%	7		V				%7	6, 3, 0, 4		6	6
29	29	1/4	1/4	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
30	30	0	0	2/2	2	1	#viio7/V				#viio7/V	#vii	o	7		V				o7	6, 3, 0, -3		6	6
30	30	3/4	3/4	2/2	2	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
31	31	0	0	2/2	2	1	viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
31	31	1/2	1/2	2/2	2	1	V\\				V	V							\\	M	1, 5, 2		1	1
31	31	3/4	3/4	2/2	2	1	V(94)				V(94)	V			94					M	1, 0, 2	-4	1	1
