mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	2	1	b.i{		b	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	1.0	1/2	1/2	3/4	2	1	i6		b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	3	2.0	0	0	3/4	2	1	iv		b	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
2	2	5	5	1.0	1/2	1/2	3/4	2	1	V7		b	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	6	6	1.0	0	0	3/4	2	1	i		b	i		i		i							m	1	1	0, -3, 1		0	0
3	3	7	7	1.5	1/4	1/4	3/4	2	1	V/III		b	i		V/III		V				III			M	1	1	-2, 2, -1		-2	-2
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	V6		b	i		V6		V		6					M	1	1	5, 2, 1		1	5
4	4	9	9	1.0	0	0	3/4	2	1	i		b	i		i		i							m	1	1	0, -3, 1		0	0
4	4	10	10	1.0	1/4	1/4	3/4	2	1	V(9)/v		b	i		V(9)/v		V			9	v			M	1	1	2, 6, 3	-3	2	2
4	4	11	11	1.0	1/2	1/2	3/4	2	1	V65/v		b	i		V65/v		V		65		v			Mm7	1	1	6, 3, 0, 2		2	6
5	5	12	12	1.0	0	0	3/4	2	1	v(v#9)}{		b	i		v(v#9)		v			v#9			}{	m	1	1	1, -2, 2	3	1	1
5	5	13	13	0.5	1/4	1/4	3/4	2	1	v2		b	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	V2		b	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	14	14	1.0	1/2	1/2	3/4	2	1	i6		b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
