mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	15/32	.D.I	D	I		I	I							M	0	0	0, 4, 1		0	0
2	1	7/32	ii7	D	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2	2
2	1	1/4	I6	D	I		I6	I			6				M	0	0	4, 1, 0		0	4
3	2	0	I	D	I		I	I							M	0	0	0, 4, 1		0	0
3	2	1/8	IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	7/32	ii7	D	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2	2
3	2	1/4	I6	D	I		I6	I			6				M	0	0	4, 1, 0		0	4
3	2	11/32	#viio6/ii	D	I		#viio6/ii	#vii		o	6		ii		o	0	0	4, 1, 7		7	4
3	2	3/8	ii	D	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	1/8	ii6(9)	D	I		ii6(9)	ii			6	9			m	0	0	-1, 3, 2	4	2	-1
4	3	1/4	V(64)	D	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
4	3	3/8	#viio/vi	D	I		#viio/vi	#vii		o			vi		o	0	0	8, 5, 2		8	8
5	4	1/4	vi	D	I		vi	vi							m	0	0	3, 0, 4		3	3
5	4	3/8	#viio64/ii	D	I		#viio64/ii	#vii		o	64		ii		o	0	0	1, 7, 4		7	1
6	5	0	#viio6/ii	D	I		#viio6/ii	#vii		o	6		ii		o	0	0	4, 1, 7		7	4
6	5	1/8	#viio65/ii	D	I		#viio65/ii	#vii		o	65		ii		o7	0	0	4, 1, -2, 7		7	4
6	5	1/4	ii6	D	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
6	5	7/16	V	D	I		V	V							M	0	0	1, 5, 2		1	1
7	6	0	I	D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	1/8	V65/IV	D	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0	4
7	6	1/4	IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	3/8	I6	D	I		I6	I			6				M	0	0	4, 1, 0		0	4
8	7	0	ii7	D	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2	2
8	7	1/4	V7(4)	D	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
8	7	3/8	V7	D	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	I[I	D	I	I	I	I							M	0	0	0, 4, 1		0	0
9	8	1/8	IV	D	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
9	8	5/24	viio6	D	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
9	8	1/4	I	D	I	I	I	I							M	0	0	0, 4, 1		0	0
9	8	3/8	IV	D	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
9	8	11/24	viio6	D	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
10	9	0	I]\\	D	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
10	9	1/8	V.ii	D	V		ii	ii							m	0	0	2, -1, 3		2	2
11	10	0	ii2	D	V		ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
11	10	1/4	V2	D	V		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	3/8	viio6	D	V		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
12	11	0	V65(4)	D	V		V65(4)	V			65	4			Mm7	0	0	0, 2, -1, 1		1	0
12	11	1/8	V6	D	V		V6	V			6				M	0	0	5, 2, 1		1	5
12	11	7/32	I	D	V		I	I							M	0	0	0, 4, 1		0	0
12	11	1/4	viio6(2)	D	V		viio6(2)	vii		o	6	2			o	0	0	2, -1, 0		5	2
12	11	3/8	V	D	V		V	V							M	0	0	1, 5, 2		1	1
12	11	15/32	I	D	V		I	I							M	0	0	0, 4, 1		0	0
13	12	0	viio	D	V		viio	vii		o					o	0	0	5, 2, -1		5	5
13	12	1/8	I	D	V		I	I							M	0	0	0, 4, 1		0	0
13	12	7/32	V7/IV	D	V		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
13	12	1/4	V+6/IV	D	V		V+6/IV	V		+	6		IV		+	0	0	4, 8, 0		0	4
14	13	0	IV(#2)	D	V		IV(#2)	IV				#2			M	0	0	-1, 8, 0		-1	-1
14	13	1/8	ii6(#7)	D	V		ii6(#7)	ii			6	#7			m	0	0	-1, 3, 7		2	-1
14	13	3/16	ii6	D	V		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
14	13	1/4	IVM7	D	V		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1	-1
14	13	3/8	viio(64)/V	D	V		viio(64)/V	vii		o		64	V		o	0	0	6, 5, 2		6	6
14	13	15/32	viio/V	D	V		viio/V	vii		o			V		o	0	0	6, 3, 0		6	6
15	14	0	V	D	V		V	V							M	0	0	1, 5, 2		1	1
15	14	1/8	V(64)	D	V		V(64)	V				64			M	0	0	1, 0, 4		1	1
15	14	7/32	V(9#7)	D	V		V(9#7)	V				9#7			M	0	0	1, 5, 2	3, 6	1	1
15	14	1/4	V6\\	D	V		V6	V			6			\\	M	0	0	5, 2, 1		1	5
16	15	0	I[I	D	V	I	I	I							M	0	0	0, 4, 1		0	0
16	15	1/8	IV	D	V	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
16	15	7/32	viio6	D	V	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
16	15	1/4	I	D	V	I	I	I							M	0	0	0, 4, 1		0	0
17	16	1/8	IV6	D	V	I	IV6	IV			6				M	0	0	3, 0, -1		-1	3
17	16	7/32	viio64	D	V	I	viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
17	16	1/4	I]	D	V	I	I	I							M	0	0	0, 4, 1		0	0
17	16	3/8	ii	D	V		ii	ii							m	0	0	2, -1, 3		2	2
18	17	0	IV6	D	V		IV6	IV			6				M	0	0	3, 0, -1		-1	3
18	17	1/8	I6	D	V		I6	I			6				M	0	0	4, 1, 0		0	4
18	17	1/4	viio6(42)	D	V		viio6(42)	vii		o	6	42			o	0	0	4, -1, 0		5	4
18	17	3/8	viio6	D	V		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
19	18	0	viio43	D	V		viio43	vii		o	43				o7	0	0	-1, -4, 5, 2		5	-1
19	18	7/32	V43	D	V		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
19	18	1/4	I	D	V		I	I							M	0	0	0, 4, 1		0	0
19	18	3/8	#viio2/ii	D	V		#viio2/ii	#vii		o	2		ii		o7	0	0	-2, 7, 4, 1		7	-2
20	19	0	V(6)/ii	D	V		V(6)/ii	V				6	ii		M	0	0	3, 7, -1		3	3
20	19	1/8	#viio64/ii	D	V		#viio64/ii	#vii		o	64		ii		o	0	0	1, 7, 4		7	1
20	19	1/4	ii6	D	V		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
20	19	7/16	V	D	V		V	V							M	0	0	1, 5, 2		1	1
21	20	0	I	D	V		I	I							M	0	0	0, 4, 1		0	0
21	20	3/32	V7/IV	D	V		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
21	20	1/8	ii6	D	V		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
