mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.C.I		C	I		I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1	I(64)		C	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
2	2	5/8	5/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
3	3	0	0	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	3	3/8	3/8	4/4	1	1	viio		C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
3	3	1/2	1/2	4/4	1	1	I(94)		C	I		I(94)		I			94			M	0	0	0, -1, 1	2	0	0
3	3	5/8	5/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
3	3	7/8	7/8	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	4/4	1	1	I(94)		C	I		I(94)		I			94			M	0	0	0, -1, 1	2	0	0
4	4	1/8	1/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	1	1	I(64)		C	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
5	5	5/8	5/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	3/8	3/8	4/4	1	1	viio		C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
6	6	1/2	1/2	4/4	1	1	I(94)		C	I		I(94)		I			94			M	0	0	0, -1, 1	2	0	0
6	6	5/8	5/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
6	6	3/4	3/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
6	6	7/8	7/8	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	4/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
7	7	1/4	1/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
7	7	1/2	1/2	4/4	1	1	V6		C	I		V6		V		6				M	0	0	5, 2, 1		1	5
7	7	5/8	5/8	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
7	7	3/4	3/4	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	3/8	3/8	4/4	2	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	4/4	1	1	viio		C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
8	8	5/16	5/16	4/4	1	1	#viio7/vi		C	I		#viio7/vi		#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
8	8	3/8	3/8	4/4	1	1	vi6		C	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
8	8	5/8	5/8	4/4	1	1	vi		C	I		vi		vi						m	0	0	3, 0, 4		3	3
8	8	7/8	7/8	4/4	1	1	vi6		C	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
9	9	0	0	4/4	1	1	V.V65/V		C	V		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
9	9	1/4	1/4	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
9	9	3/8	3/8	4/4	1	1	#viio43/iii		C	V		#viio43/iii		#vii	o	43		iii		o7	0	0	3, 0, 9, 6		9	3
9	9	1/2	1/2	4/4	1	1	iii6		C	V		iii6		iii		6				m	0	0	1, 5, 4		4	1
9	9	3/4	3/4	4/4	1	1	#viio6/iii		C	V		#viio6/iii		#vii	o	6		iii		o	0	0	6, 3, 9		9	6
9	9	7/8	7/8	4/4	1	1	iii6		C	V		iii6		iii		6				m	0	0	1, 5, 4		4	1
10	10	0	0	4/4	1	1	#viio43/iii		C	V		#viio43/iii		#vii	o	43		iii		o7	0	0	3, 0, 9, 6		9	3
10	10	1/4	1/4	4/4	1	1	V6/vi		C	V		V6/vi		V		6		vi		M	0	0	8, 5, 4		4	8
10	10	3/8	3/8	4/4	1	1	IV6		C	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
10	10	5/8	5/8	4/4	1	1	IV		C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
10	10	7/8	7/8	4/4	1	1	IV6		C	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
11	11	0	0	4/4	1	1	#IV65		C	V		#IV65		#IV		65				Mm7	0	0	10, 7, 4, 6		6	10
11	11	1/4	1/4	4/4	1	1	V+6		C	V		V+6		V	+	6				+	0	0	5, 9, 1		1	5
11	11	3/8	3/8	4/4	1	1	#IV64		C	V		#IV64		#IV		64				M	0	0	7, 6, 10		6	7
11	11	1/2	1/2	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
11	11	3/4	3/4	4/4	1	1	#IV6		C	V		#IV6		#IV		6				M	0	0	10, 7, 6		6	10
11	11	7/8	7/8	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
12	12	0	0	4/4	1	1	I\\		C	V		I		I					\\	M	0	0	0, 4, 1		0	0
12	12	1/4	1/4	4/4	1	1	V6(4)		C	V		V6(4)		V		6	4			M	0	0	0, 2, 1		1	0
12	12	3/8	3/8	4/4	1	1	V43/vi		C	V		V43/vi		V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
12	12	1/2	1/2	4/4	1	1	vi		C	V		vi		vi						m	0	0	3, 0, 4		3	3
12	12	3/4	3/4	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
13	13	0	0	4/4	1	1	ii6		C	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
13	13	1/4	1/4	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
13	13	3/8	3/8	4/4	1	1	V6/vi		C	V		V6/vi		V		6		vi		M	0	0	8, 5, 4		4	8
13	13	1/2	1/2	4/4	1	1	vi		C	V		vi		vi						m	0	0	3, 0, 4		3	3
13	13	3/4	3/4	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
14	14	0	0	4/4	1	1	ii6		C	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
14	14	1/4	1/4	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
14	14	3/8	3/8	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
14	14	1/2	1/2	4/4	1	1	vi(4)		C	V		vi(4)		vi			4			m	0	0	3, 2, 4		3	3
14	14	5/8	5/8	4/4	1	1	vi		C	V		vi		vi						m	0	0	3, 0, 4		3	3
14	14	3/4	3/4	4/4	1	1	V2/V		C	V		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
15	15	0	0	4/4	1	1	V(4)		C	V		V(4)		V			4			M	0	0	1, 0, 2		1	1
15	15	1/8	1/8	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
15	15	1/4	1/4	4/4	1	1	V65		C	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
15	15	1/2	1/2	4/4	1	1	I		C	V		I		I						M	0	0	0, 4, 1		0	0
15	15	5/8	5/8	4/4	1	1	I		C	V		I		I						M	0	0	0, 4, 1		0	0
15	15	3/4	3/4	4/4	1	1	V2/V		C	V		V2/V		V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
