mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	3/4	2/2	2	1	D.V{		D	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	1	1	3.0	0	0	2/2	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
2	1	4	4	1.0	3/4	3/4	2/2	2	1	IM2	iii64	D	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
3	2	5	5	2.0	0	0	2/2	2	1	vi		D	I		vi	vi							m	0	0	3, 0, 4		3	3
3	2	7	7	2.0	1/2	1/2	2/2	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	9	9	1.0	0	0	2/2	2	1	vii%43		D	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
4	3	10	10	1.0	1/4	1/4	2/2	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	11	11	1.0	1/2	1/2	2/2	2	1	ii		D	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	12	12	1.0	3/4	3/4	2/2	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	13	13	1.0	0	0	2/2	2	1	I(^74)}		D	I		I(^74)	I			^74			}	M	0	0	0, -1, 1	5	0	0
5	4	14	14	5.0	1/4	1/4	2/2	2	1	I|IAC		D	I		I	I					IAC		M	0	0	0, 4, 1		0	0
5	4	15	15	0.0	1/2	1/2	2/2	2	1	{		D	I									{		0	0				
6	5	19	19	1.0	1/2	1/2	2/2	2	1	ii7		D	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	5	20	20	1.0	3/4	3/4	2/2	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	21	21	3.0	0	0	2/2	2	1	I(^74)}{		D	I		I(^74)	I			^74			}{	M	0	0	0, -1, 1	5	0	0
7	6	24	24	1.0	3/4	3/4	2/2	2	1	#vi%65/vi		D	I		#vi%65/vi	#vi	%	65		vi			%7	0	0	3, 0, 4, 6		6	3
8	7	25	25	1.0	0	0	2/2	2	1	ii(4)/vi		D	I		ii(4)/vi	ii			4	vi			m	0	0	5, 4, 6		5	5
8	7	26	26	2.0	1/4	1/4	2/2	2	1	iio/vi		D	I		iio/vi	ii	o			vi			o	0	0	5, 2, -1		5	5
8	7	28	28	1.0	3/4	3/4	2/2	2	1	V65/vi		D	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
9	8	29	29	2.0	0	0	2/2	2	1	i/vi		D	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
9	8	31	31	2.0	1/2	1/2	2/2	2	1	VI/vi		D	I		VI/vi	VI				vi			M	0	0	-1, 3, 0		-1	-1
10	9	33	33	2.0	0	0	2/2	2	1	i/vi		D	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
10	9	35	35	3.0	1/2	1/2	2/2	2	1	V.vii%7		D	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
11	10	38	38	1.0	1/4	1/4	2/2	2	1	V7		D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	39	39	1.0	1/2	1/2	2/2	2	1	IV6		D	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	10	40	40	1.0	3/4	3/4	2/2	2	1	V7		D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	41	41	1.0	0	0	2/2	2	1	I(9)}{		D	V		I(9)	I			9			}{	M	0	0	0, 4, 1	2	0	0
12	11	42	42	2.0	1/4	1/4	2/2	2	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
12	11	44	44	1.0	3/4	3/4	2/2	2	1	I6		D	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	12	45	45	4.0	0	0	2/2	2	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
14	13	49	49	1.0	0	0	2/2	2	1	vii%7		D	V		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
14	13	50	50	1.0	1/4	1/4	2/2	2	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
14	13	51	51	1.0	1/2	1/2	2/2	2	1	IVM7		D	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
