mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	3/8	3/8	1.125	3/32	15/32	2/4	2	1	D.I{	D	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	3/2	3/2	1.5	1/4	1/4	2/4	2	1	I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	3	3	0.5	1/8	1/8	2/4	2	1	IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	7/2	7/2	1.0	1/4	1/4	2/4	2	1	I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	9/2	9/2	0.5	0	0	2/4	2	1	ii	D	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	5	5	0.5	1/8	1/8	2/4	2	1	ii6(9)	D	I		ii6(9)	ii		6	9				m	0	0	-1, 3, 2	4	2	-1
4	3	11/2	11/2	0.5	1/4	1/4	2/4	2	1	V(64)	D	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	6	6	1.5	3/8	3/8	2/4	2	1	#viio/vi	D	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
5	4	15/2	15/2	0.5	1/4	1/4	2/4	2	1	vi	D	I		vi	vi							m	0	0	3, 0, 4		3	3
5	4	8	8	0.5	3/8	3/8	2/4	2	1	V2/ii	D	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
6	5	17/2	17/2	0.5	0	0	2/4	2	1	#viio6/ii	D	I		#viio6/ii	#vii	o	6		ii			o	0	0	4, 1, 7		7	4
6	5	9	9	0.5	1/8	1/8	2/4	2	1	#viio65/ii	D	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
6	5	19/2	19/2	0.75	1/4	1/4	2/4	2	1	ii6	D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	5	41/4	41/4	0.25	7/16	7/16	2/4	2	1	V	D	I		V	V							M	0	0	1, 5, 2		1	1
7	6	21/2	21/2	0.5	0	0	2/4	2	1	I	D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	11	11	0.5	1/8	1/8	2/4	2	1	V65/IV	D	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
7	6	23/2	23/2	0.5	1/4	1/4	2/4	2	1	IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	12	12	0.5	3/8	3/8	2/4	2	1	I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	25/2	25/2	1.0	0	0	2/4	2	1	ii7	D	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	7	27/2	27/2	0.5	1/4	1/4	2/4	2	1	V7(4)	D	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
8	7	14	14	0.5	3/8	3/8	2/4	2	1	V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	29/2	29/2	0.5	0	0	2/4	2	1	I[I|IAC}	D	I	I	I	I					IAC	}	M	0	0	0, 4, 1		0	0
9	8	15	15	0.3333333333333339	1/8	1/8	2/4	2	1	IV	D	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
9	8	46/3	46/3	0.16666666666666607	5/24	5/24	2/4	2	1	V	D	I	I	V	V							M	0	0	1, 5, 2		1	1
9	8	31/2	31/2	0.5	1/4	1/4	2/4	2	1	I	D	I	I	I	I							M	0	0	0, 4, 1		0	0
9	8	16	16	0.33333333333333215	3/8	3/8	2/4	2	1	IV	D	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
9	8	49/3	49/3	0.16666666666666785	11/24	11/24	2/4	2	1	V	D	I	I	V	V							M	0	0	1, 5, 2		1	1
10	9	33/2	33/2	0.5	0	0	2/4	2	1	I]	D	I	I	I	I							M	0	0	0, 4, 1		0	0
10	9	17	17	1.5	1/8	1/8	2/4	2	1	V.ii{	D	V		ii	ii						{	m	0	0	2, -1, 3		2	2
11	10	37/2	37/2	1.0	0	0	2/4	2	1	V(42)	D	V		V(42)	V			42				M	0	0	3, 0, 2		1	3
11	10	39/2	39/2	0.5	1/4	1/4	2/4	2	1	V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	20	20	0.5	3/8	3/8	2/4	2	1	V43	D	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	11	41/2	41/2	0.5	0	0	2/4	2	1	V7(4)	D	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
12	11	21	21	0.375	1/8	1/8	2/4	2	1	V6	D	V		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	171/8	171/8	0.125	7/32	7/32	2/4	2	1	I	D	V		I	I							M	0	0	0, 4, 1		0	0
12	11	43/2	43/2	0.5	1/4	1/4	2/4	2	1	V43(4)	D	V		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
12	11	22	22	0.375	3/8	3/8	2/4	2	1	V	D	V		V	V							M	0	0	1, 5, 2		1	1
12	11	179/8	179/8	0.125	15/32	15/32	2/4	2	1	I	D	V		I	I							M	0	0	0, 4, 1		0	0
13	12	45/2	45/2	0.5	0	0	2/4	2	1	V65	D	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
13	12	23	23	0.375	1/8	1/8	2/4	2	1	I	D	V		I	I							M	0	0	0, 4, 1		0	0
13	12	187/8	187/8	0.125	7/32	7/32	2/4	2	1	V7/IV	D	V		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
13	12	47/2	47/2	1.0	1/4	1/4	2/4	2	1	V+6/IV	D	V		V+6/IV	V	+	6		IV			+	0	0	4, 8, 0		0	4
14	13	49/2	49/2	0.5	0	0	2/4	2	1	IV(#2)	D	V		IV(#2)	IV			#2				M	0	0	-1, 8, 0		-1	-1
14	13	25	25	0.25	1/8	1/8	2/4	2	1	ii6(#7)	D	V		ii6(#7)	ii		6	#7				m	0	0	-1, 3, 7		2	-1
14	13	101/4	101/4	0.25	3/16	3/16	2/4	2	1	ii6	D	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	13	51/2	51/2	0.5	1/4	1/4	2/4	2	1	IVM7	D	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
14	13	26	26	0.375	3/8	3/8	2/4	2	1	viio(64)/V	D	V		viio(64)/V	vii	o		64	V			o	0	0	6, 5, 2		6	6
14	13	211/8	211/8	0.125	15/32	15/32	2/4	2	1	viio/V	D	V		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
15	14	53/2	53/2	0.5	0	0	2/4	2	1	V[V|HC}	D	V	V	V	V					HC	}	M	0	0	1, 5, 2		1	1
15	14	27	27	0.375	1/8	1/8	2/4	2	1	I6	D	V	V	I6	I		6					M	0	0	4, 1, 0		0	4
