mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
40	39	155	1.0	3/4	3/4	4/4	2	1		V65/V		C	vi		V65/V		V		65		V			Mm7	0	1	6, 3, 0, 2		2	6
41	40	156	1.0	0	0	4/4	2	1		V		C	vi		V		V							M	0	1	1, 5, 2		1	1
41	40	157	1.0	1/4	1/4	4/4	2	1		i64		C	vi		i64		i		64					m	0	1	1, 0, -3		0	1
41	40	158	1.0	1/2	1/2	4/4	2	1		VI		C	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
41	40	159	3.0	3/4	3/4	4/4	2	1		Ger6		C	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
42	41	162	1.0	1/2	1/2	4/4	2	1		i64		C	vi		i64		i		64					m	0	1	1, 0, -3		0	1
42	41	163	2.0	3/4	3/4	4/4	2	1		viio7/V		C	vi		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
43	42	165	1.0	1/4	1/4	4/4	2	1		i64		C	vi		i64		i		64					m	0	1	1, 0, -3		0	1
43	42	166	1.0	1/2	1/2	4/4	2	1		VI		C	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
43	42	167	1.0	3/4	3/4	4/4	2	1		Ger6		C	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
44	43	168	1.0	0	0	4/4	2	1		V(64)		C	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
44	43	169	1.0	1/4	1/4	4/4	2	1		#viio43		C	vi		#viio43		#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
44	43	170	1.0	1/2	1/2	4/4	2	1		i6		C	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
44	43	171	1.0	3/4	3/4	4/4	2	1		V43		C	vi		V43		V		43					Mm7	0	1	2, -1, 1, 5		1	2
45	44	172	1.0	0	0	4/4	2	1		i		C	vi		i		i							m	0	1	0, -3, 1		0	0
45	44	173	1.0	1/4	1/4	4/4	2	1		#viio43/iv		C	vi		#viio43/iv		#vii	o	43		iv			o7	0	1	-2, -5, 4, 1		4	-2
45	44	174	1.0	1/2	1/2	4/4	2	1		i6/iv		C	vi		i6/iv		i		6		iv			m	0	1	-4, 0, -1		-1	-4
45	44	175	1.0	3/4	3/4	4/4	2	1		V43/iv		C	vi		V43/iv		V		43		iv			Mm7	0	1	1, -2, 0, 4		0	1
46	45	176	1.0	0	0	4/4	2	1		i/iv		C	vi		i/iv		i				iv			m	0	1	-1, -4, 0		-1	-1
46	45	177	1.0	1/4	1/4	4/4	2	1		#viio6/iv		C	vi		#viio6/iv		#vii	o	6		iv			o	0	1	1, -2, 4		4	1
46	45	178	1.0	1/2	1/2	4/4	2	1		i6/iv		C	vi		i6/iv		i		6		iv			m	0	1	-4, 0, -1		-1	-4
46	45	179	1.0	3/4	3/4	4/4	2	1		I.V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
47	46	180	1.0	0	0	4/4	2	1		V}{		C	I		V		V						}{	M	0	0	1, 5, 2		1	1
47	46	181	1.0	1/4	1/4	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	46	182	2.0	1/2	1/2	4/4	2	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
48	47	184	1.0	0	0	4/4	2	1		bVI		C	I		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
48	47	185	2.0	1/4	1/4	4/4	2	1		Ger6		C	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
48	47	187	1.0	3/4	3/4	4/4	2	1		V(b64)		C	I		V(b64)		V			b64				M	0	0	1, 0, -3		1	1
49	48	188	3.0	0	0	4/4	2	1		viio7/V		C	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
49	48	191	1.0	3/4	3/4	4/4	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
50	49	192	5.0	0	0	4/4	2	1		V|HC}		C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
51	50	197	3.0	1/4	1/4	4/4	2	1		vii%7		C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
52	51	200	1.0	0	0	4/4	2	1		I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
52	51	201	2.0	1/4	1/4	4/4	2	1		viio6		C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
52	51	203	1.0	3/4	3/4	4/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
53	52	204	1.0	0	0	4/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
53	52	205	1.0	1/4	1/4	4/4	2	1		V65/IV		C	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
53	52	206	2.0	1/2	1/2	4/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
54	53	208	1.0	0	0	4/4	2	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
54	53	209	2.0	1/4	1/4	4/4	2	1		viio/V		C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
54	53	211	2.0	3/4	3/4	4/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
55	54	213	1.0	1/4	1/4	4/4	2	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
55	54	214	2.0	1/2	1/2	4/4	2	1		I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
56	55	216	2.0	0	0	4/4	2	1		IV{		C	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
56	55	218	2.0	1/2	1/2	4/4	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
57	56	220	2.0	0	0	4/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
57	56	222	2.0	1/2	1/2	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
58	57	224	3.0	0	0	4/4	2	1		I|IAC}{		C	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
58	57	227	1.0	3/4	3/4	4/4	2	1		iii64		C	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
59	58	228	3.0	0	0	4/4	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
59	58	231	1.0	3/4	3/4	4/4	2	1		iii6		C	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
60	59	232	2.0	0	0	4/4	2	1		viio/V		C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
60	59	234	2.0	1/2	1/2	4/4	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
61	60	236	1.0	0	0	4/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
61	60	237	1.0	1/4	1/4	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
61	60	238	2.0	1/2	1/2	4/4	2	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
62	61	240	1.0	0	0	4/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
62	61	241	1.0	1/4	1/4	4/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
62	61	242	1.0	1/2	1/2	4/4	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
62	61	243	1.0	3/4	3/4	4/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
63	62			0	0	4/4	2	1	1	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
64	63	244	4.0	0	0	4/4	2	1	2	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
