mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	2	1		viio6		C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
1	1	3/4	3/4	4/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	0	0	4/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	2	1		V+65/IV		C	I		V+65/IV		V	+	65		IV			+7	0	0	4, 8, -2, 0		0	4
2	2	1/2	1/2	4/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	0	0	4/4	2	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	1/4	1/4	4/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	3/4	3/4	4/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
4	4	1/4	1/4	4/4	2	1		V+65		C	I		V+65		V	+	65					+7	0	0	5, 9, -1, 1		1	5
4	4	1/2	1/2	4/4	2	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	1/4	1/4	4/4	2	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	7	0	0	4/4	2	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
8	8	0	0	4/4	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	1/4	1/4	4/4	2	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	9	0	0	4/4	2	1		viio6/V		C	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
9	9	3/4	3/4	4/4	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
10	10	0	0	4/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	3/4	3/4	4/4	2	1		V65		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	0	0	4/4	2	1		I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
11	11	1/2	1/2	4/4	2	1		V.ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	0	0	4/4	2	1		V65/V		C	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
13	13	0	0	4/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
14	14	0	0	4/4	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	0	4/4	2	1		I		C	V		I		I							M	0	0	0, 4, 1		0	0
15	15	3/4	3/4	4/4	2	1		iii64		C	V		iii64		iii		64					m	0	0	5, 4, 1		4	5
16	16	0	0	4/4	2	1		vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
16	16	3/4	3/4	4/4	2	1		iii6		C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
17	17	0	0	4/4	2	1		viio/V		C	V		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
17	17	1/2	1/2	4/4	2	1		V65/V		C	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
18	18	0	0	4/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
18	18	1/4	1/4	4/4	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1		I		C	V		I		I							M	0	0	0, 4, 1		0	0
19	19	1/4	1/4	4/4	2	1		IV	ii6	C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	1/2	1/2	4/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
20	20	0	0	4/4	2	1	1	I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
20	20	1/2	1/2	4/4	2	1	1	I.V		C	I		V		V							M	0	0	1, 5, 2		1	1
21	20	0	0	4/4	2	1	2	I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
21	20	1/2	1/2	4/4	2	1	2	I		C	V		I		I							M	0	0	0, 4, 1		0	0
21	20	5/8	5/8	4/4	2	1	2	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
21	20	3/4	3/4	4/4	2	1	2	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
21	20	7/8	7/8	4/4	2	1	2	viio6(2)		C	V		viio6(2)		vii	o	6	2				o	0	0	2, -1, 0		5	2
22	21	0	0	4/4	2	1		I		C	V		I		I							M	0	0	0, 4, 1		0	0
22	21	1/4	1/4	4/4	2	1		viio6		C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
22	21	3/4	3/4	4/4	2	1		I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	22	0	0	4/4	2	1		I		C	V		I		I							M	0	0	0, 4, 1		0	0
23	22	1/4	1/4	4/4	2	1		V+65/IV		C	V		V+65/IV		V	+	65		IV			+7	0	0	4, 8, -2, 0		0	4
23	22	1/2	1/2	4/4	2	1		IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
24	23	0	0	4/4	2	1		ii		C	V		ii		ii							m	0	0	2, -1, 3		2	2
24	23	1/4	1/4	4/4	2	1		viio/V		C	V		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
24	23	3/4	3/4	4/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
25	24	1/4	1/4	4/4	2	1		V+65		C	V		V+65		V	+	65					+7	0	0	5, 9, -1, 1		1	5
25	24	1/2	1/2	4/4	2	1		I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
26	25	0	0	4/4	2	1		I.V		C	I		V		V							M	0	0	1, 5, 2		1	1
26	25	3/4	3/4	4/4	2	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	26	0	0	4/4	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
