mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	15/32	.D.I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	1	1/8	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
2	1	7/32	ii7	D	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
2	1	1/4	I6	D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
3	2	0	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
3	2	1/8	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
3	2	7/32	ii7	D	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
3	2	1/4	I6	D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
3	2	11/32	#viio6/ii	D	I		#viio6/ii	#vii	o	6		ii		o	0	0	4, 1, 7		7.0	4.0
4	3	0	ii	D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
4	3	1/8	ii6(9)	D	I		ii6(9)	ii		6	9			m	0	0	-1, 3, 2	4	2.0	-1.0
4	3	1/4	V(64)	D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
4	3	3/8	#viio7/vi	D	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
5	4	0	#viio7/vi	D	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
5	4	1/4	vi	D	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
5	4	3/8	V43/ii	D	I		V43/ii	V		43		ii		Mm7	0	0	4, 1, 3, 7		3.0	4.0
6	5	0	#viio6/ii	D	I		#viio6/ii	#vii	o	6		ii		o	0	0	4, 1, 7		7.0	4.0
6	5	1/8	#viio65/ii	D	I		#viio65/ii	#vii	o	65		ii		o7	0	0	4, 1, -2, 7		7.0	4.0
6	5	1/4	ii6	D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
6	5	7/16	V	D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
7	6	0	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
7	6	1/8	V65/IV	D	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
7	6	1/4	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
7	6	3/8	I6	D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
8	7	0	ii7	D	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
8	7	1/4	V7(4)	D	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1.0	1.0
8	7	3/8	V7	D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
9	8	0	I[I	D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
9	8	1/8	IV	D	I	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
9	8	5/24	V	D	I	I	V	V						M	0	0	1, 5, 2		1.0	1.0
9	8	1/4	I	D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
9	8	3/8	IV	D	I	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
