mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	2	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	3	2.0	0	0	3/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	5	1.0	1/2	1/2	3/4	2	1		#viio7/ii		C	I		#viio7/ii		#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
3	3	6	2.0	0	0	3/4	2	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	8	1.0	1/2	1/2	3/4	2	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	9	1.0	0	0	3/4	2	1		I6(4)}		C	I		I6(4)		I		6	4			}	M	0	0	-1, 1, 0		0	-1
4	4	10	1.0	1/4	1/4	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	4	11	1.0	1/2	1/2	3/4	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	12	2.0	0	0	3/4	2	1		I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
5	5	14	1.0	1/2	1/2	3/4	2	1		V.IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	15	3.0	0	0	3/4	2	1		I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	18	1.0	0	0	3/4	2	1		IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	19	1.0	1/4	1/4	3/4	2	1		V(64)		C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	20	1.0	1/2	1/2	3/4	2	1		V		C	V		V		V							M	0	0	1, 5, 2		1	1
8	8			0	0	3/4	2	1	1	I|PAC}		C	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
8	8			1/2	1/2	3/4	2	1	1	I.V		C	I		V		V							M	0	0	1, 5, 2		1	1
9	8	21	3.0	0	0	3/4	2	1	2	I|PAC}		C	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
10	9	24	1.0	0	0	3/4	2	1		I.V6{		C	I		V6		V		6				{	M	0	0	5, 2, 1		1	5
10	9	25	2.0	1/4	1/4	3/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
11	10	27	1.0	0	0	3/4	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
11	10	28	2.0	1/4	1/4	3/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
12	11	30	2.0	0	0	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	11	32	1.0	1/2	1/2	3/4	2	1		ii6	IV	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	12	33	1.0	0	0	3/4	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	12	34	1.0	1/4	1/4	3/4	2	1		#viio7/vi		C	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
13	12	35	1.0	1/2	1/2	3/4	2	1		vi}		C	I		vi		vi						}	m	0	0	3, 0, 4		3	3
14	13	36	3.0	0	0	3/4	2	1		IV{		C	I		IV		IV						{	M	0	0	-1, 3, 0		-1	-1
15	14	39	3.0	0	0	3/4	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	15	42	1.0	0	0	3/4	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	43	1.0	1/4	1/4	3/4	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	15	44	1.0	1/2	1/2	3/4	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
17	16			0	0	3/4	2	1	1	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
18	16	45	3.0	0	0	3/4	2	1	2	I|PAC}		C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
19	17	48	5.0	0	0	3/4	2	1		vi.i{		C	vi		i		i						{	m	0	1	0, -3, 1		0	0
20	18	53	1.0	1/2	1/2	3/4	2	1		#viio6		C	vi		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
21	19	54	2.0	0	0	3/4	2	1		i6		C	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
21	19	56	1.0	1/2	1/2	3/4	2	1		ii6	iv	C	vi		ii6		ii		6					m	0	1	-1, 3, 2		2	-1
22	20	57	2.0	0	0	3/4	2	1		V		C	vi		V		V							M	0	1	1, 5, 2		1	1
22	20	59	1.0	1/2	1/2	3/4	2	1		VI		C	vi		VI		VI							M	0	1	-4, 0, -3		-4	-4
23	21	60	2.0	0	0	3/4	2	1		V65		C	vi		V65		V		65					Mm7	0	1	5, 2, -1, 1		1	5
23	21	62	1.0	1/2	1/2	3/4	2	1		i		C	vi		i		i							m	0	1	0, -3, 1		0	0
24	22	63	2.0	0	0	3/4	2	1		#viio6		C	vi		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
24	22	65	1.0	1/2	1/2	3/4	2	1		i6		C	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
25	23	66	2.0	0	0	3/4	2	1		#viio7		C	vi		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
25	23	68	1.0	1/2	1/2	3/4	2	1		i		C	vi		i		i							m	0	1	0, -3, 1		0	0
26	24	69	3.0	0	0	3/4	2	1		V|HC}		C	vi		V		V					HC	}	M	0	1	1, 5, 2		1	1
27	25	72	3.0	0	0	3/4	2	1		iio/iv{		C	vi		iio/iv		ii	o			iv		{	o	0	1	1, -2, -5		1	1
28	26	75	2.0	0	0	3/4	2	1		#viio6/iv		C	vi		#viio6/iv		#vii	o	6		iv			o	0	1	1, -2, 4		4	1
28	26	77	1.0	1/2	1/2	3/4	2	1		iv/iv		C	vi		iv/iv		iv				iv			m	0	1	-2, -5, -1		-2	-2
29	27	78	1.0	0	0	3/4	2	1		V6(b2)/iv		C	vi		V6(b2)/iv		V		6	b2	iv			M	0	1	4, 1, -12		0	4
29	27	79	1.0	1/4	1/4	3/4	2	1		V6/iv		C	vi		V6/iv		V		6		iv			M	0	1	4, 1, 0		0	4
29	27	80	1.0	1/2	1/2	3/4	2	1		iv6/iv		C	vi		iv6/iv		iv		6		iv			m	0	1	-5, -1, -2		-2	-5
30	28	81	1.0	0	0	3/4	2	1		V7(b2)/iv		C	vi		V7(b2)/iv		V		7	b2	iv			Mm7	0	1	-12, 4, 1, -2		0	-12
30	28	82	1.0	1/4	1/4	3/4	2	1		V(64)/iv		C	vi		V(64)/iv		V			64	iv			M	0	1	0, -1, -4		0	0
30	28	83	1.0	1/2	1/2	3/4	2	1		V2/iv		C	vi		V2/iv		V		2		iv			Mm7	0	1	-2, 0, 4, 1		0	-2
31	29	84	1.0	0	0	3/4	2	1		i6(4)/iv		C	vi		i6(4)/iv		i		6	4	iv			m	0	1	-2, 0, -1		-1	-2
31	29	85	2.0	1/4	1/4	3/4	2	1		i6/iv		C	vi		i6/iv		i		6		iv			m	0	1	-4, 0, -1		-1	-4
32	30	87	2.0	0	0	3/4	2	1		V2/V		C	vi		V2/V		V		2		V			Mm7	0	1	0, 2, 6, 3		2	0
32	30	89	1.0	1/2	1/2	3/4	2	1		It6		C	vi		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
33	31	90	4.0	0	0	3/4	2	1		viio/V		C	vi		viio/V		vii	o			V			o	0	1	6, 3, 0		6	6
34	32	94	2.0	1/4	1/4	3/4	2	1		V|HC}		C	vi		V		V					HC	}	M	0	1	1, 5, 2		1	1
35	33	96	1.0	0	0	3/4	2	1		V6(4){		C	vi		V6(4)		V		6	4			{	M	0	1	0, 2, 1		1	0
35	33	97	2.0	1/4	1/4	3/4	2	1		V6		C	vi		V6		V		6					M	0	1	5, 2, 1		1	5
36	34	99	2.0	0	0	3/4	2	1		V		C	vi		V		V							M	0	1	1, 5, 2		1	1
36	34	101	1.0	1/2	1/2	3/4	2	1		i6		C	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
37	35	102	2.0	0	0	3/4	2	1		#viio7		C	vi		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
37	35	104	1.0	1/2	1/2	3/4	2	1		i		C	vi		i		i							m	0	1	0, -3, 1		0	0
38	36	105	1.0	0	0	3/4	2	1		iio(4)		C	vi		iio(4)		ii	o		4				o	0	1	2, 1, -4		2	2
38	36	106	2.0	1/4	1/4	3/4	2	1		iio		C	vi		iio		ii	o						o	0	1	2, -1, -4		2	2
39	37	108	1.0	0	0	3/4	2	1		iv(2)		C	vi		iv(2)		iv			2				m	0	1	1, -4, 0		-1	1
39	37	109	2.0	1/4	1/4	3/4	2	1		iv		C	vi		iv		iv							m	0	1	-1, -4, 0		-1	-1
40	38	111	2.0	0	0	3/4	2	1		#viio2		C	vi		#viio2		#vii	o	2					o7	0	1	-4, 5, 2, -1		5	-4
40	38	113	1.0	1/2	1/2	3/4	2	1		V2		C	vi		V2		V		2					Mm7	0	1	-1, 1, 5, 2		1	-1
41	39	114	0.5	0	0	3/4	2	1		i6		C	vi		i6		i		6					m	0	1	-3, 1, 0		0	-3
41	39	229/2	0.5	1/8	1/8	3/4	2	1		iio6	iv	C	vi		iio6		ii	o	6					o	0	1	-1, -4, 2		2	-1
41	39	115	1.0	1/4	1/4	3/4	2	1		V(64)		C	vi		V(64)		V			64				M	0	1	1, 0, -3		1	1
41	39	116	1.0	1/2	1/2	3/4	2	1		V		C	vi		V		V							M	0	1	1, 5, 2		1	1
42	40	117	3.0	0	0	3/4	2	1		i|PAC}		C	vi		i		i					PAC	}	m	0	1	0, -3, 1		0	0
