mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	2	1		C.I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/8	2	1		I2	C	I		I2	I		2					Mm7	0	0	-2, 0, 4, 1		0	-2
2	2	0	0	3/8	2	1		vi	C	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	1/4	1/4	3/8	2	1		vi2	C	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
3	3	0	0	3/8	2	1		ii65	C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
3	3	1/4	1/4	3/8	2	1		V	C	I		V	V							M	0	0	1, 5, 2		1	1
3	3	11/32	11/32	3/8	2	1		V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	0	3/8	2	1		I|IAC}{	C	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
4	4	1/8	1/8	3/8	2	1		I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	0	0	3/8	2	1		ii65	C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	1/4	1/4	3/8	2	1		V	C	I		V	V							M	0	0	1, 5, 2		1	1
5	5	11/32	11/32	3/8	2	1		V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	3/8	2	1		I|IAC}	C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
6	6	1/8	1/8	3/8	2	1		I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	1/4	1/4	3/8	2	1		I	C	I		I	I							M	0	0	0, 4, 1		0	0
7	7	0	0	3/8	2	1		IV64(b4){	C	I		IV64(b4)	IV		64	b4			{	M	0	0	0, -1, -2		-1	0
7	7	1/8	1/8	3/8	2	1		IV64	C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
8	8	0	0	3/8	2	1		I(6)	C	I		I(6)	I			6				M	0	0	0, 4, 3		0	0
8	8	1/8	1/8	3/8	2	1		I	C	I		I	I							M	0	0	0, 4, 1		0	0
