mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	visible	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
98	97	1/4	1/4	3/4	1	1	i\\			C	vi		i		i					\\	m	0	1	0, -3, 1		0	0
99	98	0	0	3/4	1	1	iv7			C	vi		iv7		iv		7				mm7	0	1	-1, -4, 0, -3		-1	-1
99	98	1/4	1/4	3/4	1	1	iio65			C	vi		iio65		ii	o	65				o7	0	1	-1, -4, -7, 2		2	-1
99	98	1/2	1/2	3/4	1	1	iio/iv		0	C	vi		iio/iv		ii	o			iv		o	0	1	1, -2, -5		1	1
99	98	1/2	1/2	3/4	1	2	v			C	vi		v		v						m	0	1	1, -2, 2		1	1
99	98	5/8	5/8	3/4	1	2	v2			C	vi		v2		v		2				mm7	0	1	-1, 1, -2, 2		1	-1
100	99	0	0	3/4	1	1	#viio7/iv			C	vi		#viio7/iv		#vii	o	7		iv		o7	0	1	4, 1, -2, -5		4	4
100	99	1/4	1/4	3/4	1	1	V65/iv			C	vi		V65/iv		V		65		iv		Mm7	0	1	4, 1, -2, 0		0	4
100	99	1/2	1/2	3/4	1	1	iv			C	vi		iv		iv						m	0	1	-1, -4, 0		-1	-1
100	99	5/8	5/8	3/4	1	1	iv2			C	vi		iv2		iv		2				mm7	0	1	-3, -1, -4, 0		-1	-3
101	100	0	0	3/4	1	1	vi7/IV			C	vi		vi7/IV		vi		7		IV		mm7	0	1	2, -1, 3, 0		2	2
101	100	1/4	1/4	3/4	1	1	IV6/IV			C	vi		IV6/IV		IV		6		IV		M	0	1	2, -1, -2		-2	2
101	100	3/8	3/8	3/4	1	1	iv64			C	vi		iv64		iv		64				m	0	1	0, -1, -4		-1	0
101	100	1/2	1/2	3/4	1	1	#viio7			C	vi		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
101	100	5/8	5/8	3/4	1	1	V6(6)			C	vi		V6(6)		V		6	6			M	0	1	5, -3, 1		1	5
102	101	0	0	3/4	1	1	i			C	vi		i		i						m	0	1	0, -3, 1		0	0
102	101	1/4	1/4	3/4	1	1	V\\			C	vi		V		V					\\	M	0	1	1, 5, 2		1	1
102	101	1/2	1/2	3/4	1	1	V6			C	vi		V6		V		6				M	0	1	5, 2, 1		1	5
103	102	0	0	3/4	1	1	V			C	vi		V		V						M	0	1	1, 5, 2		1	1
104	103	0	0	3/4	1	1	V7			C	vi		V7		V		7				Mm7	0	1	1, 5, 2, -1		1	1
104	103	1/8	1/8	3/4	1	1	#viio7			C	vi		#viio7		#vii	o	7				o7	0	1	5, 2, -1, -4		5	5
105	104	0	0	3/4	1	1	i			C	vi		i		i						m	0	1	0, -3, 1		0	0
105	104	1/8	1/8	3/4	1	1	iio6			C	vi		iio6		ii	o	6				o	0	1	-1, -4, 2		2	-1
105	104	1/4	1/4	3/4	1	1	V(64)			C	vi		V(64)		V			64			M	0	1	1, 0, -3		1	1
105	104	1/2	1/2	3/4	1	1	V(4)			C	vi		V(4)		V			4			M	0	1	1, 0, 2		1	1
105	104	5/8	5/8	3/4	1	1	#viio6/iv			C	vi		#viio6/iv		#vii	o	6		iv		o	0	1	1, -2, 4		4	1
106	105	0	0	3/4	1	1	iv6(#7)			C	vi		iv6(#7)		iv		6	#7			m	0	1	-4, 0, 4		-1	-4
106	105	9/16	9/16	3/4	1	1	iv6			C	vi		iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
106	105	5/8	5/8	3/4	1	1	ii6			C	vi		ii6		ii		6				m	0	1	-1, 3, 2		2	-1
106	105	23/32	23/32	3/4	1	1	#viio64			C	vi		#viio64		#vii	o	64				o	0	1	-1, 5, 2		5	-1
107	106	0	0	3/4	1	1	i6			C	vi		i6		i		6				m	0	1	-3, 1, 0		0	-3
107	106	1/8	1/8	3/4	1	1	iv			C	vi		iv		iv						m	0	1	-1, -4, 0		-1	-1
107	106	1/4	1/4	3/4	1	1	V(64)			C	vi		V(64)		V			64			M	0	1	1, 0, -3		1	1
107	106	1/2	1/2	3/4	1	1	V			C	vi		V		V						M	0	1	1, 5, 2		1	1
108	107	0	0	3/4	1	1	i\\			C	vi		i		i					\\	m	0	1	0, -3, 1		0	0
109	108	0	0	3/4	1	2	I.I			C	I		I		I						M	0	0	0, 4, 1		0	0
109	108	3/8	3/8	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
109	108	1/2	1/2	3/4	1	2	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
109	108	5/8	5/8	3/4	1	2	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
110	109	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
110	109	3/8	3/8	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
110	109	1/2	1/2	3/4	1	2	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
110	109	5/8	5/8	3/4	1	2	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
111	110	0	0	3/4	1	2	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
111	110	1/4	1/4	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
111	110	3/8	3/8	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
111	110	1/2	1/2	3/4	1	2	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
111	110	5/8	5/8	3/4	1	2	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
112	111	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
112	111	3/8	3/8	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
112	111	1/2	1/2	3/4	1	2	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
112	111	5/8	5/8	3/4	1	2	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
113	112	0	0	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
113	112	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
113	112	1/2	1/2	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
114	113	0	0	3/4	1	2	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
114	113	1/4	1/4	3/4	1	2	IV6			C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
114	113	1/2	1/2	3/4	1	2	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
115	114	0	0	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
116	115	0	0	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
116	115	3/16	3/16	3/4	2	1	V6/V			C	I		V6/V		V		6		V		M	0	0	6, 3, 2		2	6
116	115	1/4	1/4	3/4	2	1	V			C	I		V		V						M	0	0	1, 5, 2		1	1
117	116	0	0	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
117	116	1/8	1/8	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
117	116	1/4	1/4	3/4	1	1	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
117	116	1/2	1/2	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
117	116	11/16	11/16	3/4	2	1	vii%7/V			C	I		vii%7/V		vii	%	7		V		%7	0	0	6, 3, 0, 4		6	6
118	117	0	0	3/4	1	1	V(64)			C	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
118	117	1/4	1/4	3/4	1	1	V\\			C	I		V		V					\\	M	0	0	1, 5, 2		1	1
119	118	0	0	3/4	1	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
120	119	0	0	3/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
121	120	0	0	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
121	120	1/4	1/4	3/4	1	1	V.V65			C	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
122	121	0	0	3/4	1	1	I			C	V		I		I						M	0	0	0, 4, 1		0	0
123	122	0	0	3/4	1	1	V43			C	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
124	123	0	0	3/4	1	1	I6			C	V		I6		I		6				M	0	0	4, 1, 0		0	4
124	123	1/2	1/2	3/4	1	2	IV			C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
124	123	5/8	5/8	3/4	1	2	vii%43			C	V		vii%43		vii	%	43				%7	0	0	-1, 3, 5, 2		5	-1
125	124	1/2	1/2	3/4	1	1	V2/IV			C	V		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
125	124	0	0	3/4	1	2	I6			C	V		I6		I		6				M	0	0	4, 1, 0		0	4
126	125	1/4	1/4	3/4	1	1	ii6			C	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
126	125	1/2	1/2	3/4	1	1	ii7			C	V		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
126	125	0	0	3/4	2	1	IV			C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
127	126	0	0	3/4	1	1	V7			C	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
128	127	11/16	11/16	3/4	1	1	V65			C	V		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
129	128	0	0	3/4	1	1	I			C	V		I		I						M	0	0	0, 4, 1		0	0
129	128	1/4	1/4	3/4	1	1	I6			C	V		I6		I		6				M	0	0	4, 1, 0		0	4
129	128	1/2	1/2	3/4	1	1	V7			C	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
130	129	0	0	3/4	1	1	I			C	V		I		I						M	0	0	0, 4, 1		0	0
131	130	0	0	3/4	1	1	ii6			C	V		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
131	130	1/4	1/4	3/4	1	1	V(64)			C	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
131	130	1/2	1/2	3/4	1	1	V			C	V		V		V						M	0	0	1, 5, 2		1	1
132	131	0	0	3/4	1	1	I\\			C	V		I		I					\\	M	0	0	0, 4, 1		0	0
132	131	1/4	1/4	3/4	1	1	I.V			C	I		V		V						M	0	0	1, 5, 2		1	1
133	131	0	0	3/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
134	132	0	0	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
134	132	3/8	3/8	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
134	132	1/2	1/2	3/4	1	1	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
134	132	5/8	5/8	3/4	1	1	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
135	133	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
135	133	3/8	3/8	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
135	133	1/2	1/2	3/4	1	1	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
135	133	5/8	5/8	3/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
136	134	0	0	3/4	1	1	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
136	134	1/4	1/4	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
136	134	3/8	3/8	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
136	134	1/2	1/2	3/4	1	1	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
136	134	5/8	5/8	3/4	1	1	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
137	135	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
137	135	3/8	3/8	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
137	135	1/2	1/2	3/4	1	1	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
137	135	5/8	5/8	3/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
138	136	0	0	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
138	136	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
138	136	1/2	1/2	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
139	137	0	0	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
139	137	1/4	1/4	3/4	1	1	IV6			C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
139	137	1/2	1/2	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
140	138	0	0	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
141	139	0	0	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
141	139	3/16	3/16	3/4	2	1	V65/V			C	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
141	139	1/4	1/4	3/4	2	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
142	140	0	0	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
142	140	3/16	3/16	3/4	1	1	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
142	140	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
142	140	7/16	7/16	3/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
142	140	1/2	1/2	3/4	1	1	I6\\			C	I		I6		I		6			\\	M	0	0	4, 1, 0		0	4
143	141	0	0	3/4	1	1	I.V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
143	141	5/8	5/8	3/4	1	1	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
144	142	0	0	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
144	142	1/8	1/8	3/4	1	2	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
144	142	3/8	3/8	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
144	142	1/2	1/2	3/4	1	2	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
144	142	5/8	5/8	3/4	1	2	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
145	143	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
145	143	3/8	3/8	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
145	143	1/2	1/2	3/4	1	2	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
145	143	5/8	5/8	3/4	1	2	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
146	144	0	0	3/4	1	2	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
146	144	1/4	1/4	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
146	144	3/8	3/8	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
146	144	1/2	1/2	3/4	1	2	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
146	144	5/8	5/8	3/4	1	2	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
147	145	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
147	145	3/8	3/8	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
147	145	1/2	1/2	3/4	1	2	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
147	145	5/8	5/8	3/4	1	2	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
148	146	0	0	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
148	146	1/4	1/4	3/4	1	2	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
148	146	1/2	1/2	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
149	147	0	0	3/4	1	2	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
149	147	1/4	1/4	3/4	1	2	IV6			C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
149	147	1/2	1/2	3/4	1	2	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
150	148	0	0	3/4	1	2	I			C	I		I		I						M	0	0	0, 4, 1		0	0
151	149	0	0	3/4	1	2	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
151	149	3/16	3/16	3/4	2	1	V6/V			C	I		V6/V		V		6		V		M	0	0	6, 3, 2		2	6
151	149	1/4	1/4	3/4	2	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
152	150	0	0	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
152	150	3/16	3/16	3/4	1	1	viio6			C	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
152	150	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
152	150	7/16	7/16	3/4	1	1	viio			C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
152	150	1/2	1/2	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
153	151	0	0	3/4	1	1	V7/IV			C	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
153	151	5/8	5/8	3/4	1	1	V6/IV			C	I		V6/IV		V		6		IV		M	0	0	4, 1, 0		0	4
154	152	0	0	3/4	1	1	IV(b4)			C	I		IV(b4)		IV			b4			M	0	0	-1, -2, 0		-1	-1
154	152	1/4	1/4	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
154	152	3/8	3/8	3/4	1	1	V2/IV			C	I		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
154	152	1/2	1/2	3/4	1	1	IV6			C	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
154	152	5/8	5/8	3/4	1	1	V64/IV			C	I		V64/IV		V		64		IV		M	0	0	1, 0, 4		0	1
155	153	0	0	3/4	1	1	IV(b4)			C	I		IV(b4)		IV			b4			M	0	0	-1, -2, 0		-1	-1
155	153	1/4	1/4	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
155	153	3/8	3/8	3/4	1	1	V2/ii			C	I		V2/ii		V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
155	153	1/2	1/2	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
155	153	5/8	5/8	3/4	1	1	V64/ii			C	I		V64/ii		V		64		ii		M	0	0	4, 3, 7		3	4
156	154	0	0	3/4	1	1	ii(4)			C	I		ii(4)		ii			4			m	0	0	2, 1, 3		2	2
156	154	1/4	1/4	3/4	1	1	ii			C	I		ii		ii						m	0	0	2, -1, 3		2	2
156	154	3/8	3/8	3/4	1	1	V2			C	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
156	154	1/2	1/2	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
156	154	5/8	5/8	3/4	1	1	V64			C	I		V64		V		64				M	0	0	2, 1, 5		1	2
157	155	0	0	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
157	155	1/8	1/8	3/4	1	1	V2/vi			C	I		V2/vi		V		2		vi		Mm7	0	0	2, 4, 8, 5		4	2
157	155	1/4	1/4	3/4	1	1	#vio64/vi			C	I		#vio64/vi		#vi	o	64		vi		o	0	0	0, 6, 3		6	0
157	155	3/8	3/8	3/4	1	1	#viio6/vi			C	I		#viio6/vi		#vii	o	6		vi		o	0	0	5, 2, 8		8	5
157	155	1/2	1/2	3/4	1	1	vi			C	I		vi		vi						m	0	0	3, 0, 4		3	3
158	156	0	0	3/4	1	1	viio7/V/vi			C	I		viio7/V/vi		vii	o	7		V/vi		o7	0	0	9, 6, 3, 0		9	9
159	157	0	0	3/4	1	1	V(64)/vi			C	I		V(64)/vi		V			64	vi		M	0	0	4, 3, 0		4	4
159	157	1/4	1/4	3/4	1	1	V/vi\\			C	I		V/vi		V				vi	\\	M	0	0	4, 8, 5		4	4
160	158	0	0	3/4	1	1	vi6			C	I		vi6		vi		6				m	0	0	0, 4, 3		3	0
161	159	0	0	3/4	1	1	.bII/vi			C	I		bII/vi		bII				vi		M	0	0	-2, 2, -1		-2	-2
162	160	0	0	3/4	1	1	#viio6/ii			C	I		#viio6/ii		#vii	o	6		ii		o	0	0	4, 1, 7		7	4
163	161	0	0	3/4	1	1	ii			C	I		ii		ii						m	0	0	2, -1, 3		2	2
164	162	0	0	3/4	1	1	V6			C	I		V6		V		6				M	0	0	5, 2, 1		1	5
164	162	5/8	5/8	3/4	2	1	viio			C	I		viio		vii	o					o	0	0	5, 2, -1		5	5
165	163	0	0	3/4	1	1	I			C	I		I		I						M	0	0	0, 4, 1		0	0
166	164	0	0	3/4	1	1	V43			C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
166	164	5/8	5/8	3/4	2	1	viio64			C	I		viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
167	165	0	0	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
167	165	1/2	1/2	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
167	165	5/8	5/8	3/4	2	1	vii%43			C	I		vii%43		vii	%	43				%7	0	0	-1, 3, 5, 2		5	-1
168	166	0	0	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
168	166	1/2	1/2	3/4	1	1	V7/IV			C	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
169	167	0	0	3/4	1	1	IV			C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
169	167	3/16	3/16	3/4	1	1	IV+			C	I		IV+		IV	+					+	0	0	-1, 3, 7		-1	-1
169	167	1/4	1/4	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
169	167	1/2	1/2	3/4	1	1	ii7			C	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
170	168	0	0	3/4	1	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
171	169	11/16	11/16	3/4	1	1	V65			C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
172	170	0	0	3/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
172	170	1/4	1/4	3/4	1	1	I6			C	I		I6		I		6				M	0	0	4, 1, 0		0	4
172	170	1/2	1/2	3/4	1	1	V7			C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
173	171	0	0	3/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
174	172	0	0	3/4	1	1	ii6			C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
174	172	1/4	1/4	3/4	1	1	V(4)			C	I		V(4)		V			4			M	0	0	1, 0, 2		1	1
174	172	1/2	1/2	3/4	1	1	V			C	I		V		V						M	0	0	1, 5, 2		1	1
175	173	0	0	3/4	1	1	I\\			C	I		I		I					\\	M	0	0	0, 4, 1		0	0
175	173	1/2	1/2	3/4	2	1	V.I6			C	V		I6		I		6				M	0	0	4, 1, 0		0	4
175	173	5/8	5/8	3/4	2	1	V43			C	V		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
176	173	0	0	3/4	1	1	I\\			C	V		I		I					\\	M	0	0	0, 4, 1		0	0
