mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	2/2	2	1		D.V	D	I		V	V							M	0	0	1, 5, 2		1	1
2	1	0	0	2/2	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
2	1	3/4	3/4	2/2	2	1		I2	D	I		I2	I		2					Mm7	0	0	-2, 0, 4, 1		0	-2
3	2	0	0	2/2	2	1		vi	D	I		vi	vi							m	0	0	3, 0, 4		3	3
3	2	1/2	1/2	2/2	2	1		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	2/2	2	1		IV	D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	1/8	1/8	2/2	2	1		V2	D	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	3	1/4	1/4	2/2	2	1		I6	D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	1/2	1/2	2/2	2	1		ii	D	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	3/4	3/4	2/2	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	2/2	2	1		I(74)	D	I		I(74)	I			74				M	0	0	0, -1, 1	5	0	0
5	4	1/4	1/4	2/2	2	1		I\\	D	I		I	I						\\	M	0	0	0, 4, 1		0	0
6	5	0	0	2/2	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
6	5	1/2	1/2	2/2	2	1		ii	D	I		ii	ii							m	0	0	2, -1, 3		2	2
6	5	3/4	3/4	2/2	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	2/2	2	1		I(74)	D	I		I(74)	I			74				M	0	0	0, -1, 1	5	0	0
7	6	1/3	1/3	2/2	2	1		I\\	D	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	6	3/4	3/4	2/2	2	1		VI.vi65	D	VI		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
8	7	0	0	2/2	2	1		ii(4)	D	VI		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
8	7	1/4	1/4	2/2	2	1		iio	D	VI		iio	ii	o						o	0	0	2, -1, -4		2	2
8	7	3/4	3/4	2/2	2	1		V65	D	VI		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	8	0	0	2/2	2	1		i\\	D	VI		i	i						\\	m	0	0	0, -3, 1		0	0
9	8	5/12	5/12	2/2	2	1		i2	D	VI		i2	i		2					mm7	0	0	-2, 0, -3, 1		0	-2
9	8	1/2	1/2	2/2	2	1		VI	D	VI		VI	VI							M	0	0	3, 7, 4		3	3
9	8	2/3	2/3	2/2	2	1		#viio2	D	VI		#viio2	#vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
9	8	3/4	3/4	2/2	2	1		i	D	VI		i	i							m	0	0	0, -3, 1		0	0
10	9	0	0	2/2	2	1		i	D	VI		i	i							m	0	0	0, -3, 1		0	0
10	9	5/12	5/12	2/2	2	1		i2	D	VI		i2	i		2					mm7	0	0	-2, 0, -3, 1		0	-2
10	9	1/2	1/2	2/2	2	1		vio	D	VI		vio	vi	o						o	0	0	3, 0, -3		3	3
10	9	2/3	2/3	2/2	2	1		#vii%2	D	VI		#vii%2	#vii	%	2					%7	0	0	3, 5, 2, -1		5	3
10	9	3/4	3/4	2/2	2	1		i	D	VI		i	i							m	0	0	0, -3, 1		0	0
11	10	0	0	2/2	2	1		V.ii	D	V		ii	ii							m	0	0	2, -1, 3		2	2
11	10	1/4	1/4	2/2	2	1		V7	D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	3/4	3/4	2/2	2	1		V	D	V		V	V							M	0	0	1, 5, 2		1	1
11	10	11/12	11/12	2/2	2	1		V6	D	V		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	0	0	2/2	2	1		I(9)	D	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
12	11	1/4	1/4	2/2	2	1		I\\	D	V		I	I						\\	M	0	0	0, 4, 1		0	0
12	11	1/2	1/2	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
12	11	3/4	3/4	2/2	2	1		I6	D	V		I6	I		6					M	0	0	4, 1, 0		0	4
13	12	0	0	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
13	12	1/2	1/2	2/2	2	1		ii2	D	V		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
13	12	3/4	3/4	2/2	2	1		#viio7/V	D	V		#viio7/V	#vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
14	13	0	0	2/2	2	1		#vii%7	D	V		#vii%7	#vii	%	7					%7	0	0	5, 2, -1, 3		5	5
14	13	1/4	1/4	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
14	13	1/2	1/2	2/2	2	1		IV(7)	D	V		IV(7)	IV			7				M	0	0	-1, 3, 0	4	-1	-1
14	13	3/4	3/4	2/2	2	1		V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	14	0	0	2/2	2	1		V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	14	1/4	1/4	2/2	2	1		I6\\	D	V		I6	I		6				\\	M	0	0	4, 1, 0		0	4
15	14	1/2	1/2	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
16	15	0	0	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
16	15	1/4	1/4	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
16	15	1/2	1/2	2/2	2	1		IV	D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	15	3/4	3/4	2/2	2	1		V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	16	0	0	2/2	2	1		V2	D	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	16	1/4	1/4	2/2	2	1		I6\\	D	V		I6	I		6				\\	M	0	0	4, 1, 0		0	4
17	16	1/2	1/2	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
18	17	0	0	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
18	17	1/4	1/4	2/2	2	1		I6	D	V		I6	I		6					M	0	0	4, 1, 0		0	4
18	17	1/2	1/2	2/2	2	1		V7(4)	D	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
18	17	7/12	7/12	2/2	2	1		V7	D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	18	0	0	2/2	2	1		#viio7/vi	D	V		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
19	18	1/2	1/2	2/2	2	1		vi	D	V		vi	vi							m	0	0	3, 0, 4		3	3
19	18	3/4	3/4	2/2	2	1		V(#74)	D	V		V(#74)	V			#74				M	0	0	1, 0, 2	6	1	1
19	18	15/16	15/16	2/2	2	1		V(4)	D	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
20	19	0	0	2/2	2	1		I	D	V		I	I							M	0	0	0, 4, 1		0	0
20	19	1/2	1/2	2/2	2	1		V6/V	D	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
21	20	0	0	2/2	2	1		V7/V	D	V		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
21	20	1/4	1/4	2/2	2	1		V6/V	D	V		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
21	20	3/4	3/4	2/2	2	1		#viio/V	D	V		#viio/V	#vii	o			V			o	0	0	6, 3, 0		6	6
22	21	0	0	2/2	2	1		#viio/V	D	V		#viio/V	#vii	o			V			o	0	0	6, 3, 0		6	6
22	21	1/2	1/2	2/2	2	1		V\\	D	V		V	V						\\	M	0	0	1, 5, 2		1	1
23	22	0	0	2/2	2	1		V7	D	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	22	1/4	1/4	2/2	2	1		V	D	V		V	V							M	0	0	1, 5, 2		1	1
