mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1	a.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	2.0	1/4	1/4	3/4	2	1	#viio7	a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	2	3	3	1.0	0	0	3/4	2	1	i(64)	a	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
2	2	4	4	2.0	1/4	1/4	3/4	2	1	i}	a	i		i	i						}	m	1	1	0, -3, 1		0	0
3	3	6	6	1.0	0	0	3/4	2	1	ii%65(2){	a	i		ii%65(2)	ii	%	65	2			{	%7	1	1	-1, -4, 0, -3		2	-1
3	3	7	7	1.5	1/4	1/4	3/4	2	1	ii%65	a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	9	9	1.0	0	0	3/4	2	1	VI(6)|DC}{	a	i		VI(6)	VI			6		DC	}{	M	1	1	-4, 0, -1		-4	-4
4	4	10	10	1.5	1/4	1/4	3/4	2	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	23/2	23/2	0.5	5/8	5/8	3/4	2	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	12	12	0.5	0	0	3/4	2	1	iv7	a	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	5	25/2	25/2	2.0	1/8	1/8	3/4	2	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
6	6	15	15	3.0	0	0	3/4	2	1	i|IAC}	a	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
7	7	18	18	1.0	0	0	3/4	2	1	III.vi{	a	III		vi	vi						{	m	1	0	3, 0, 4		3	3
7	7	19	19	1.75	1/4	1/4	3/4	2	1	V(64)	a	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
7	7	83/4	83/4	0.25	11/16	11/16	3/4	2	1	viio7/V	a	III		viio7/V	vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
8	8	21	21	1.0	0	0	3/4	2	1	V(64)}	a	III		V(64)	V			64			}	M	1	0	1, 0, 4		1	1
8	8	22	22	2.0	1/4	1/4	3/4	2	1	V|HC	a	III		V	V					HC		M	1	0	1, 5, 2		1	1
9	9	24	24	0.5	0	0	3/4	2	1	I6{	a	III		I6	I		6				{	M	1	0	4, 1, 0		0	4
9	9	49/2	49/2	0.5	1/8	1/8	3/4	2	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
9	9	25	25	0.75	1/4	1/4	3/4	2	1	I(4)	a	III		I(4)	I			4				M	1	0	0, -1, 1		0	0
9	9	103/4	103/4	0.75	7/16	7/16	3/4	2	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
9	9	53/2	53/2	0.5	5/8	5/8	3/4	2	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	10	27	27	0.5	0	0	3/4	2	1	IV(b4)	a	III		IV(b4)	IV			b4				M	1	0	-1, -2, 0		-1	-1
10	10	55/2	55/2	0.5	1/8	1/8	3/4	2	1	ii6	a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
