mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4/4	1	0						firstMeasure	2
2	2	0	4/4	1	0							3
3	3	0	4/4	1	0							4
4	4	0	4/4	1	0					line		5
5	5	0	4/4	1	0							6
6	6	0	4/4	1	0							7
7	7	0	4/4	1	0					line		8
8	8	0	4/4	1	0							9
9	9	0	4/4	1	0							10
10	10	0	4/4	1	0					line		11
11	11	0	4/4	1	0							12
12	12	0	4/4	1	0							13
13	13	0	4/4	1	0					line		14
14	14	0	4/4	1	0							15
15	15	0	4/4	1	0							16
16	16	0	4/4	1	0					line		17
17	17	0	4/4	1	0							18
18	18	0	4/4	1	0							19
19	19	0	4/4	1	0							20, 21
20	20	0	4/4	1	0	1				line	end	1
21	20	0	4/4	1	0	2		1				22
22	21	0	4/4	1	0						start	23
23	22	0	4/4	1	0							24
24	23	0	4/4	1	0					line		25
25	24	0	4/4	1	0							26
26	25	0	4/4	1	0							27
27	26	0	4/4	1	0					line		28
28	27	0	4/4	1	0							29
29	28	0	4/4	1	0							30
30	29	0	4/4	1	0					line		31
31	30	0	4/4	1	0							32
32	31	0	4/4	1	0							33
33	32	0	4/4	1	0					line		34
34	33	0	4/4	1	0							35
35	34	0	4/4	1	0							36
36	35	0	4/4	1	0					line		37
37	36	0	4/4	1	0							38
38	37	0	4/4	1	0							39
39	38	0	4/4	1	0					line		40
40	39	0	4/4	1	0							41
41	40	0	4/4	1	0							42
42	41	0	4/4	1	0					line		43
43	42	0	4/4	1	0							44
44	43	0	4/4	1	0							45
45	44	0	4/4	1	0					line		46
46	45	0	4/4	1	0							47
47	46	0	4/4	1	0							48
48	47	0	4/4	1	0					line		49
49	48	0	4/4	1	0							50
50	49	0	4/4	1	0							51
51	50	0	4/4	1	0							52
52	51	0	4/4	1	0					line		53
53	52	0	4/4	1	0							54
54	53	0	4/4	1	0							55
55	54	0	4/4	1	0							56
56	55	0	4/4	1	0					line		57
57	56	0	4/4	1	0							58
58	57	0	4/4	1	0							59
59	58	0	4/4	1	0					line		60
60	59	0	4/4	1	0							61
61	60	0	4/4	1	0							62
62	61	0	4/4	1	0							63, 64
63	62	0	4/4	1	0	1					end	22
64	63	0	4/4	1	0	2			end	section	lastMeasure	-1
