mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0		0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	9
1	1	0	0.25		0	0	3/4	1	2	1/16		1/16	1		0	72	C5	5	1
1	1	1/4	0.25		1/16	1/16	3/4	1	2	1/16		1/16	1		2	74	D5	5	2
1	1	1/2	0.25		1/8	1/8	3/4	1	2	1/16		1/16	1		4	76	E5	5	3
1	1	3/4	0.25		3/16	3/16	3/4	1	2	1/16		1/16	1		-1	77	F5	5	4
1	1	1	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		1	79	G5	5	5
1	1	3/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	E4	4	10
1	1	3/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		0	72	C5	5	6
1	1	2	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		2	62	D4	4	11
1	1	2	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		5	71	B4	4	7
1	1	2	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	0
1	1	5/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		-1	65	F4	4	12
1	1	5/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		2	74	D5	5	8
2	2	3	1.0		0	0	3/4	1	2	1/4		1/4	1		2	74	D5	5	15
2	2	7/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		-1	65	F4	4	20
2	2	4	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		4	64	E4	4	21
2	2	4	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		0	72	C5	5	16
2	2	4	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		1	79	G5	5	13
2	2	9/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	22
2	2	9/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		4	76	E5	5	17
2	2	5	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		5	59	B3	3	23
2	2	5	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		2	74	D5	5	18
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	14
2	2	11/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	24
2	2	11/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		-1	77	F5	5	19
3	3	6	1.0		0	0	3/4	1	2	1/4		1/4	1		-1	77	F5	5	26
3	3	13/2	0.5		1/8	1/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	31
3	3	7	0.5		1/4	1/4	3/4	2	1	1/8		1/8	1		0	60	C4	4	32
3	3	7	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		4	76	E5	5	27
3	3	15/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	E4	4	33
